##NAMES=Potassic-fluoro-pargasite
##RRUFFID=R110065
##IDEAL CHEMISTRY=KCa_2_(Mg_4_Al)Si_6_Al_2_O_22_F_2_
##LOCALITY=Tranomaro, Fort Dauphine area, Madagascar
##OWNER=RRUFF
##SOURCE=Renato & Adriana Pagano
##DESCRIPTION=Black blocky euhedral single-crystal, from the original find
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110065
560.2209, 114.0482
560.7031, 108.7234
561.1852, 105.1373
561.6673, 105.8739
562.1494, 104.6428
562.6315, 99.28430
563.1136, 93.56372
563.5958, 90.37488
564.0779, 89.47766
564.5600, 88.99353
565.0421, 87.67017
565.5242, 85.63354
566.0063, 83.13354
566.4885, 79.76978
566.9706, 77.14648
567.4527, 76.57141
567.9348, 76.18164
568.4169, 74.08716
568.8990, 70.62463
569.3812, 68.52747
569.8633, 70.88586
570.3454, 74.58691
570.8275, 74.86169
571.3096, 71.87866
571.7917, 68.61243
572.2739, 66.25208
572.7560, 64.31531
573.2381, 61.82703
573.7202, 58.45044
574.2023, 55.84204
574.6844, 54.70239
575.1666, 53.89417
575.6487, 52.80981
576.1308, 51.39050
576.6129, 49.63708
577.0950, 47.52625
577.5771, 45.24622
578.0593, 43.21826
578.5414, 41.56348
579.0235, 39.82520
579.5056, 36.74792
579.9877, 34.75122
580.4698, 36.15259
580.9520, 39.44604
581.4341, 41.09180
581.9162, 39.16125
582.3983, 35.63306
582.8804, 32.80664
583.3625, 30.66846
583.8447, 29.32971
584.3268, 29.01355
584.8089, 29.06262
585.2910, 28.96082
585.7731, 28.69531
586.2552, 28.04639
586.7374, 26.89258
587.2195, 25.46533
587.7016, 24.15417
588.1837, 22.59070
588.6658, 19.93433
589.1479, 15.98547
589.6301, 11.62976
590.1122, 7.803467
590.5943, 4.435059
591.0764, 2.328735
591.5585, 2.483765
592.0406, 2.774048
592.5228, 2.951660
593.0049, 2.867432
593.4870, 2.239502
593.9691, 1.015015
594.4512, 0.2033690
594.9333, 0.6097410
595.4155, 0.4890140
595.8976, 1.344360
596.3797, 3.599487
596.8618, 5.231934
597.3439, 4.521362
597.8260, 2.567383
598.3082, 2.179443
598.7903, 4.110352
599.2724, 5.685791
599.7545, 6.035645
600.2366, 5.610718
600.7188, 4.489868
601.2009, 2.934692
601.6830, 1.936768
602.1651, 2.248291
602.6472, 3.417725
603.1293, 3.690308
603.6115, 2.103271
604.0936, 1.415039
604.5757, 2.349121
605.0578, 3.661255
605.5399, 4.911377
606.0220, 5.890381
606.5042, 6.244507
606.9863, 5.606934
607.4684, 4.495605
607.9505, 3.822510
608.4326, 3.568848
608.9147, 2.874268
609.3969, 1.281616
609.8790, 0.4006350
610.3611, 1.218384
610.8432, 1.252563
611.3253, 1.368042
611.8074, 1.585938
612.2896, 1.983154
612.7717, 2.141724
613.2538, 2.636841
613.7359, 4.856201
614.2180, 9.074951
614.7001, 13.52002
615.1823, 16.13867
615.6644, 16.86572
616.1465, 16.95105
616.6286, 15.16663
617.1107, 14.46863
617.5928, 16.44604
618.0750, 19.31592
618.5571, 20.98877
619.0392, 21.13721
619.5213, 21.68298
620.0034, 24.45032
620.4855, 28.56213
620.9677, 32.07837
621.4498, 34.89917
621.9319, 37.66650
622.4140, 40.67041
622.8961, 43.83862
623.3782, 47.04626
623.8604, 50.31030
624.3425, 53.56177
624.8246, 56.06702
625.3067, 59.17688
625.7888, 64.12451
626.2709, 70.41541
626.7531, 77.01489
627.2352, 83.39978
627.7173, 89.28882
628.1994, 93.85046
628.6815, 96.70117
629.1636, 100.3143
629.6458, 104.4478
630.1279, 109.8788
630.6100, 117.9888
631.0921, 127.2844
631.5742, 134.6914
632.0563, 138.4988
632.5385, 143.2189
633.0206, 153.2855
633.5027, 166.2567
633.9848, 177.1801
634.4669, 185.3627
634.9490, 193.2490
635.4312, 202.7206
635.9133, 211.3668
636.3954, 220.0786
636.8775, 230.1600
637.3596, 238.5055
637.8417, 248.5411
638.3239, 259.4589
638.8060, 270.8058
639.2881, 282.5256
639.7702, 294.6465
640.2523, 307.1993
640.7344, 320.1216
641.2166, 333.7034
641.6987, 348.1106
642.1808, 360.1309
642.6629, 368.0531
643.1450, 375.2878
643.6271, 384.4153
644.1093, 395.3237
644.5914, 407.9132
645.0735, 424.8054
645.5556, 440.2957
646.0377, 450.3750
646.5198, 457.9961
647.0020, 467.7847
647.4841, 480.2966
647.9662, 492.2214
648.4483, 500.4254
648.9304, 505.4852
649.4125, 511.9857
649.8947, 521.4144
650.3768, 529.3834
650.8589, 534.3751
651.3410, 538.3088
651.8231, 542.7081
652.3052, 547.3416
652.7874, 550.7050
653.2695, 551.2220
653.7516, 550.8740
654.2337, 552.1755
654.7158, 554.8038
655.1979, 557.3966
655.6801, 559.6760
656.1622, 561.2874
656.6443, 561.6829
657.1264, 560.8025
657.6085, 560.2217
658.0906, 560.8877
658.5728, 560.7585
659.0549, 558.6661
659.5370, 555.9536
660.0191, 554.0494
660.5012, 553.0586
660.9833, 552.0946
661.4655, 550.6829
661.9476, 548.6537
662.4297, 545.2574
662.9118, 540.2251
663.3939, 535.9760
663.8760, 534.0747
664.3582, 532.3608
664.8403, 528.5389
665.3224, 522.7634
665.8045, 515.2150
666.2866, 503.5413
666.7687, 492.5776
667.2509, 486.2703
667.7330, 482.1244
668.2151, 475.6748
668.6972, 465.9215
669.1793, 455.7209
669.6614, 448.2616
670.1436, 443.1780
670.6257, 435.0817
671.1078, 422.3186
671.5899, 409.9137
672.0720, 399.0264
672.5541, 389.0996
673.0363, 379.8582
673.5184, 371.2228
674.0005, 362.6404
674.4826, 353.0840
674.9647, 343.9937
675.4468, 337.0629
675.9290, 331.7776
676.4111, 326.4370
676.8932, 320.5145
677.3753, 315.0073
677.8574, 311.2323
678.3395, 309.2773
678.8217, 306.7012
679.3038, 303.2628
679.7859, 299.4948
680.2680, 294.8215
680.7501, 290.3130
681.2322, 286.9766
681.7144, 284.9023
682.1965, 283.3649
682.6786, 281.3954
683.1607, 279.9915
683.6428, 281.9810
684.1249, 286.7714
684.6071, 288.7601
685.0892, 285.6925
685.5713, 281.3534
686.0534, 280.0491
686.5355, 281.9988
687.0176, 283.4230
687.4998, 282.8818
687.9819, 283.7225
688.4640, 288.7225
688.9461, 294.3472
689.4282, 296.5677
689.9103, 295.1447
690.3925, 293.0416
690.8746, 292.6669
691.3567, 293.0369
691.8388, 291.5028
692.3209, 287.9631
692.8030, 284.3577
693.2852, 281.5908
693.7673, 278.0580
694.2494, 271.6749
694.7315, 262.6211
695.2136, 254.0520
695.6957, 246.0994
696.1779, 238.6053
696.6600, 232.2225
697.1421, 225.8982
697.6242, 218.3763
698.1063, 209.5576
698.5884, 200.1111
699.0706, 190.5148
699.5527, 180.6675
700.0348, 169.8445
700.5169, 157.6757
700.9990, 147.3231
701.4811, 140.0853
701.9633, 133.8651
702.4454, 126.8448
702.9275, 119.3456
703.4096, 112.2697
703.8917, 105.3545
704.3738, 99.44507
704.8560, 95.81311
705.3381, 92.67114
705.8202, 87.34955
706.3023, 80.18842
706.7844, 73.56738
707.2665, 69.16913
707.7487, 66.20154
708.2308, 62.70056
708.7129, 58.51410
709.1950, 54.52802
709.6771, 50.45105
710.1592, 47.14996
710.6414, 45.78302
711.1235, 45.49500
711.6056, 44.53217
712.0877, 42.76154
712.5698, 39.96564
713.0519, 34.98950
713.5341, 29.58533
714.0162, 25.74872
714.4983, 23.57397
714.9804, 22.52679
715.4625, 22.40332
715.9446, 22.43219
716.4268, 20.71393
716.9089, 16.60223
717.3910, 13.56580
717.8731, 11.70312
718.3552, 10.95758
718.8373, 12.30524
719.3195, 14.26178
719.8016, 14.42224
720.2837, 12.08563
