##NAMES=Symplesite
##RRUFFID=R120074
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Saubachbruch, Muldenberg, Vogtland, Sachsen, Germany
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregate of black bladed crystals,  2-fold twin around [1 -1 0]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120074
644.2780, 0.9143850
644.7601, 1.131806
645.2422, 1.261355
645.7243, 1.210579
646.2064, 1.157934
646.6885, 1.115481
647.1707, 1.068505
647.6528, 0.9983060
648.1349, 0.8781650
648.6170, 0.8542010
649.0991, 0.9931360
649.5812, 1.199191
650.0634, 1.202567
650.5455, 1.024693
651.0276, 0.9399810
651.5097, 1.195133
651.9918, 1.537967
652.4739, 1.548505
652.9561, 1.292493
653.4382, 1.038444
653.9203, 0.9114270
654.4024, 0.8531290
654.8845, 0.8344700
655.3666, 0.8582570
655.8488, 0.9085330
656.3309, 1.047739
656.8130, 1.177508
657.2951, 1.229525
657.7772, 1.157503
658.2593, 1.123278
658.7415, 1.127586
659.2236, 1.170731
659.7057, 1.286094
660.1878, 1.463824
660.6699, 1.521970
661.1520, 1.407985
661.6342, 1.237348
662.1163, 1.175253
662.5984, 1.186317
663.0805, 1.171144
663.5626, 1.030582
664.0447, 0.9073870
664.5269, 0.9298240
665.0090, 1.058527
665.4911, 1.174319
665.9732, 1.214696
666.4553, 1.259803
666.9374, 1.363524
667.4196, 1.518741
667.9017, 1.607962
668.3838, 1.613581
668.8659, 1.579274
669.3480, 1.517088
669.8301, 1.427098
670.3123, 1.358685
670.7944, 1.312319
671.2765, 1.274964
671.7586, 1.233606
672.2407, 1.193221
672.7228, 1.163950
673.2050, 1.148690
673.6871, 1.156189
674.1692, 1.209100
674.6513, 1.280818
675.1334, 1.335119
675.6155, 1.357471
676.0977, 1.371935
676.5798, 1.394675
677.0619, 1.411094
677.5440, 1.398312
678.0261, 1.346738
678.5082, 1.287208
678.9904, 1.227054
679.4725, 1.166620
679.9546, 1.080632
680.4367, 0.9693710
680.9188, 0.9553110
