##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
594.6557, 72.01270
595.1378, 67.48584
595.6199, 63.53271
596.1021, 65.10400
596.5842, 68.95947
597.0663, 70.48096
597.5485, 68.64160
598.0306, 63.66357
598.5127, 52.41357
598.9948, 37.21240
599.4769, 27.73975
599.9590, 22.74951
600.4412, 25.60693
600.9233, 41.04834
601.4054, 70.80518
601.8875, 85.69092
602.3696, 81.95020
602.8517, 72.25098
603.3339, 66.62158
603.8160, 64.73242
604.2981, 64.19482
604.7802, 65.78320
605.2623, 65.02490
605.7444, 51.88135
606.2266, 31.39258
606.7087, 17.62744
607.1908, 15.56250
607.6729, 21.97754
608.1550, 40.75781
608.6371, 66.99512
609.1193, 85.33105
609.6014, 80.34717
610.0835, 73.82959
610.5656, 79.26611
611.0477, 100.7573
611.5298, 107.1372
612.0120, 84.47803
612.4941, 59.44580
612.9762, 52.47607
613.4583, 73.14355
613.9404, 75.30908
614.4225, 50.59668
614.9047, 16.55078
615.3868, 2.952637
615.8689, 8.379395
616.3510, 6.817383
616.8331, 1.738281
617.3152, 11.64941
617.7974, 11.76270
618.2795, 4.937500
618.7616, 2.156738
619.2437, 14.59082
619.7258, 29.55518
620.2079, 34.19531
620.6901, 28.10107
621.1722, 31.63525
621.6543, 67.69775
622.1364, 104.6528
622.6185, 120.1040
623.1006, 99.15723
623.5828, 87.07373
624.0649, 84.62988
624.5470, 90.73340
625.0291, 107.2930
625.5112, 137.6382
625.9933, 157.6494
626.4755, 160.6787
626.9576, 153.5625
627.4397, 149.0747
627.9218, 146.4888
628.4039, 142.6060
628.8860, 125.6924
629.3682, 111.9048
629.8503, 131.0059
630.3324, 178.4414
630.8145, 219.5166
631.2966, 230.3750
631.7787, 229.7729
632.2609, 230.0078
632.7430, 232.8066
633.2251, 235.9580
633.7072, 241.8081
634.1893, 246.0947
634.6714, 244.1250
635.1536, 227.9141
635.6357, 224.1084
636.1178, 238.9541
636.5999, 262.4937
637.0820, 275.8521
637.5641, 278.5698
638.0463, 283.1768
638.5284, 296.3716
639.0105, 311.4131
639.4926, 310.9326
639.9747, 297.9141
640.4568, 291.4565
640.9390, 314.1631
641.4211, 341.5088
641.9032, 346.6899
642.3853, 327.8813
642.8674, 315.3257
643.3495, 322.5996
643.8317, 339.3677
644.3138, 359.5933
644.7959, 389.7544
645.2780, 408.4966
645.7601, 407.5425
646.2422, 402.3994
646.7244, 413.8169
647.2065, 446.4692
647.6886, 470.1611
648.1707, 476.7002
648.6528, 475.4897
649.1349, 486.7168
649.6171, 508.5576
650.0992, 528.3423
650.5813, 538.6284
651.0634, 545.6973
651.5455, 556.6582
652.0276, 568.7075
652.5098, 577.6362
652.9919, 581.3877
653.4740, 582.6782
653.9561, 577.9346
654.4382, 562.3989
654.9203, 569.1309
655.4025, 631.5601
655.8846, 694.5029
656.3667, 715.5635
656.8488, 670.7964
657.3309, 654.8364
657.8130, 678.8018
658.2952, 719.2168
658.7773, 741.6582
659.2594, 747.4775
659.7415, 756.6348
660.2236, 775.2646
660.7057, 798.2666
661.1879, 818.9463
661.6700, 839.3477
662.1521, 860.5010
662.6342, 882.0186
