##NAMES=Pyrochlore
##RRUFFID=R080058
##IDEAL CHEMISTRY=Ca_2_Nb_2_O_7_
##LOCALITY=Samiresy, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange octahedron, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080058
692.1067, 13.27161
692.5888, 14.78894
693.0709, 11.15320
693.5530, 6.577148
694.0352, 2.409546
694.5173, 1.123779
694.9994, 4.156006
695.4815, 6.693115
695.9636, 7.402466
696.4457, 4.379639
696.9279, 1.078735
697.4100, 1.275024
697.8921, 2.893311
698.3742, 1.721802
698.8563, 3.046021
699.3384, 8.110840
699.8206, 10.37683
700.3027, 10.34290
700.7848, 10.30786
701.2669, 10.48083
701.7490, 10.90808
702.2311, 11.81824
702.7133, 12.95764
703.1954, 14.00305
703.6775, 14.99353
704.1596, 15.65735
704.6417, 17.27905
705.1238, 18.05090
705.6060, 15.13684
706.0881, 3.916260
706.5702, 3.448608
707.0523, 5.215332
707.5344, 2.976563
708.0165, 0.4814450
708.4987, 5.223755
