##NAMES=Kleinite
##RRUFFID=R150103
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=Terlingua, Brewster Co., Texas, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of orange short hexagonal prismatic crystals, associated with colorless or white prismatic gypsum. Part of the type find.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R150103
510.6711, 7.709229
511.1532, 10.06445
511.6353, 13.17041
512.1174, 14.20776
512.5995, 10.27612
513.0817, 4.272461
513.5638, 0.9270020
514.0459, 5.184570
514.5280, 7.830078
515.0101, 7.039063
515.4922, 5.188965
515.9744, 4.559326
516.4565, 6.302734
516.9386, 8.048340
517.4207, 8.617676
517.9028, 8.810791
518.3849, 9.926270
518.8671, 12.26392
519.3492, 15.48462
519.8313, 19.87671
520.3134, 25.27734
520.7955, 30.13477
521.2776, 33.91479
521.7598, 37.91357
522.2419, 42.92871
522.7240, 49.27002
523.2061, 54.70435
523.6882, 58.59326
524.1703, 62.91260
524.6525, 70.47461
525.1346, 81.17578
525.6167, 92.97266
526.0988, 105.8938
526.5809, 118.7759
527.0630, 128.6641
527.5452, 136.0989
528.0273, 144.2825
528.5094, 155.1313
528.9915, 167.8459
529.4736, 181.6553
529.9557, 196.5522
530.4379, 212.8120
530.9200, 231.5776
531.4021, 251.4954
531.8842, 271.1133
532.3663, 287.1235
532.8484, 306.9265
533.3306, 334.6543
533.8127, 367.1890
534.2948, 397.1992
534.7769, 420.5757
535.2590, 445.9209
535.7411, 475.2405
536.2233, 508.3430
536.7054, 543.2568
537.1875, 579.6040
537.6696, 618.0393
538.1517, 659.8342
538.6339, 704.8545
539.1160, 750.7092
539.5981, 797.2144
540.0802, 844.2070
540.5623, 892.0334
541.0444, 940.9214
541.5266, 993.2717
542.0087, 1050.032
542.4908, 1110.312
542.9729, 1172.978
543.4550, 1237.181
543.9371, 1301.656
544.4193, 1364.552
544.9014, 1428.764
545.3835, 1497.315
545.8656, 1570.579
546.3477, 1644.819
546.8298, 1718.964
547.3120, 1794.227
547.7941, 1871.009
548.2762, 1951.811
548.7583, 2031.564
549.2404, 2110.472
549.7225, 2187.950
550.2047, 2262.706
550.6868, 2332.704
551.1689, 2404.484
551.6510, 2480.825
552.1331, 2560.315
552.6152, 2630.498
553.0974, 2690.124
553.5795, 2747.004
554.0616, 2806.125
554.5437, 2867.069
555.0258, 2926.929
555.5079, 2985.763
555.9901, 3044.162
556.4722, 3103.521
556.9543, 3163.582
557.4364, 3223.180
557.9185, 3279.551
558.4006, 3339.494
558.8828, 3411.040
559.3649, 3490.461
559.8470, 3570.818
560.3291, 3649.198
560.8112, 3727.578
561.2933, 3807.966
561.7755, 3890.286
562.2576, 3970.530
562.7397, 4051.338
563.2218, 4126.386
563.7039, 4192.873
564.1860, 4250.249
564.6682, 4301.038
565.1503, 4347.577
565.6324, 4385.358
566.1145, 4408.571
566.5966, 4417.431
567.0787, 4413.681
567.5609, 4398.744
568.0430, 4370.500
568.5251, 4323.851
569.0072, 4259.076
569.4893, 4181.778
569.9714, 4094.052
570.4536, 3995.389
570.9357, 3881.500
571.4178, 3753.474
571.8999, 3621.097
572.3820, 3490.927
572.8641, 3360.274
573.3463, 3228.510
573.8284, 3093.312
574.3105, 2958.801
574.7926, 2823.651
575.2747, 2690.564
575.7568, 2563.621
576.2390, 2444.190
576.7211, 2327.107
577.2032, 2211.088
577.6853, 2096.596
578.1674, 1988.747
578.6495, 1887.620
579.1317, 1793.151
579.6138, 1706.759
580.0959, 1627.621
580.5780, 1547.307
581.0601, 1464.651
581.5422, 1386.962
582.0244, 1322.726
582.5065, 1267.538
582.9886, 1211.424
583.4707, 1151.712
583.9528, 1093.694
584.4349, 1040.537
584.9171, 991.9294
585.3992, 947.9016
585.8813, 911.7859
