##NAMES=Muirite
##RRUFFID=R140248
##IDEAL CHEMISTRY=Ba_10_Ca_2_Mn^2+^Ti^4+^Si_10_O_30_(OH)_10_
##LOCALITY=Esquire No. 7 Claim, Big Creek, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Scattered orange grains and aggregates associated with taramellite, walstromite and sanbornite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140248
699.9908, 49.17181
700.4729, 45.26569
700.9550, 41.25140
701.4371, 37.15594
701.9193, 32.54388
702.4014, 28.24536
702.8835, 24.79657
703.3656, 22.06494
703.8477, 19.61194
704.3298, 17.25140
704.8120, 15.27203
705.2941, 14.15759
705.7762, 13.78821
706.2583, 13.56433
706.7404, 13.42096
707.2225, 13.46027
707.7046, 13.93280
708.1867, 14.57983
708.6688, 14.51648
709.1509, 13.12317
709.6331, 12.41602
710.1152, 13.10132
710.5973, 14.08508
711.0794, 15.08759
711.5615, 15.81616
712.0436, 15.65717
712.5258, 14.37726
713.0079, 12.91876
713.4900, 12.51855
713.9721, 13.03900
714.4542, 13.52655
714.9363, 13.91296
715.4185, 14.63892
