##NAMES=Diopside
##RRUFFID=R110128
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Dark green prismatic crystals associated with pale brown epidote, R110127
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110128
651.3410, 195.4617
651.8231, 202.9922
652.3052, 210.3092
652.7874, 218.2404
653.2695, 227.2898
653.7516, 237.0698
654.2337, 247.0290
654.7158, 257.2381
655.1979, 267.9494
655.6801, 279.1852
656.1622, 291.2173
656.6443, 304.4846
657.1264, 319.0035
657.6085, 333.9173
658.0906, 348.9034
658.5728, 364.5855
659.0549, 381.5290
659.5370, 399.1069
660.0191, 417.0038
660.5012, 435.0703
660.9833, 453.0029
661.4655, 470.8922
661.9476, 488.3384
662.4297, 503.8350
662.9118, 517.4465
663.3939, 528.6308
663.8760, 537.9020
664.3582, 543.7477
664.8403, 544.2027
665.3224, 539.6124
665.8045, 530.9016
666.2866, 517.2701
666.7687, 500.5508
667.2509, 481.3753
667.7330, 459.9722
668.2151, 436.0524
668.6972, 409.7497
669.1793, 382.8952
669.6614, 356.8622
670.1436, 331.7202
670.6257, 308.4426
671.1078, 287.0067
671.5899, 267.3572
672.0720, 249.5791
672.5541, 233.3664
673.0363, 218.4622
673.5184, 204.8727
674.0005, 192.5838
674.4826, 181.6793
674.9647, 171.8589
675.4468, 162.8423
675.9290, 154.6233
676.4111, 147.2559
676.8932, 140.7734
677.3753, 134.9158
