##NAMES=Metarauchite
##RRUFFID=R120114
##IDEAL CHEMISTRY=Ni^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Schweizer vein, 90 level, Eduard mine, Jachymov, Krusne Hory Mts., Czech Republic
##OWNER=RRUFF
##SOURCE=Dr Peter Kolesar
##DESCRIPTION=Aggregates of yellow play crystals, associated with green platy metazeunerite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120114
4.276389e+002, 6.347623e+003
4.281210e+002, 6.344974e+003
4.286031e+002, 6.343705e+003
4.290852e+002, 6.343663e+003
4.295673e+002, 6.344715e+003
4.300494e+002, 6.347140e+003
4.305316e+002, 6.349703e+003
4.310137e+002, 6.351751e+003
4.314958e+002, 6.354157e+003
4.319779e+002, 6.358515e+003
4.324600e+002, 6.364552e+003
4.329421e+002, 6.368764e+003
4.334243e+002, 6.367028e+003
4.339064e+002, 6.360949e+003
4.343885e+002, 6.357311e+003
4.348706e+002, 6.356391e+003
4.353527e+002, 6.358025e+003
4.358348e+002, 6.364750e+003
4.363170e+002, 6.373523e+003
4.367991e+002, 6.379025e+003
4.372812e+002, 6.378681e+003
4.377633e+002, 6.376386e+003
4.382454e+002, 6.374628e+003
4.387275e+002, 6.373643e+003
4.392097e+002, 6.375741e+003
4.396918e+002, 6.382982e+003
4.401739e+002, 6.391737e+003
4.406560e+002, 6.396325e+003
4.411381e+002, 6.396642e+003
4.416202e+002, 6.396627e+003
4.421024e+002, 6.397366e+003
4.425845e+002, 6.398336e+003
4.430666e+002, 6.398900e+003
4.435487e+002, 6.399023e+003
4.440308e+002, 6.399023e+003
