##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
460.3525, 64.36269
460.8346, 63.71052
461.3167, 62.79785
461.7989, 61.96576
462.2810, 61.33864
462.7631, 60.90765
463.2452, 60.72463
463.7273, 60.85614
464.2094, 60.84130
464.6916, 60.63683
465.1737, 60.23978
465.6558, 59.45567
466.1379, 58.43986
466.6200, 57.71373
467.1021, 57.71701
467.5843, 58.12490
468.0664, 58.33177
468.5485, 58.33689
469.0306, 58.13111
469.5127, 57.52635
469.9948, 56.81454
470.4770, 56.43250
470.9591, 56.41732
471.4412, 56.64920
471.9233, 57.26541
472.4054, 58.04154
472.8875, 58.55405
473.3697, 58.72272
473.8518, 58.71567
474.3339, 58.64047
474.8160, 58.50187
475.2981, 58.46286
475.7802, 58.61721
476.2624, 58.76925
476.7445, 58.78598
477.2266, 58.74503
477.7087, 58.81060
478.1908, 59.04961
478.6729, 59.36311
479.1551, 59.53972
479.6372, 59.30714
480.1193, 59.61422
480.6014, 60.98535
481.0835, 62.35268
481.5656, 63.10513
482.0478, 63.32967
482.5299, 63.39215
483.0120, 63.49903
483.4941, 63.69100
483.9762, 64.15795
484.4583, 65.11880
484.9405, 65.90523
485.4226, 66.26591
485.9047, 66.50246
486.3868, 66.80156
486.8689, 67.20295
487.3510, 67.70672
487.8332, 68.38644
488.3153, 69.18546
488.7974, 69.79147
489.2795, 70.05710
489.7616, 70.46484
490.2437, 71.43439
490.7259, 72.71118
491.2080, 73.95410
491.6901, 75.11127
492.1722, 76.19225
492.6543, 77.14366
493.1364, 78.01640
493.6186, 78.95069
494.1007, 79.98943
494.5828, 81.10313
495.0649, 82.24708
495.5470, 83.41886
496.0291, 84.75040
496.5113, 86.47382
496.9934, 88.15369
497.4755, 89.33031
497.9576, 90.26216
498.4397, 91.66991
498.9218, 93.91534
499.4040, 96.56961
499.8861, 98.61179
500.3682, 99.34946
500.8503, 100.7390
501.3324, 103.0284
501.8145, 105.6802
502.2967, 108.4368
502.7788, 111.2690
503.2609, 114.2790
503.7430, 117.6097
504.2251, 121.1130
504.7072, 124.0849
505.1894, 126.1237
505.6715, 128.5885
506.1536, 132.1699
506.6357, 136.0820
507.1178, 139.6218
507.5999, 142.7312
508.0821, 146.0537
508.5642, 150.3429
509.0463, 155.1990
509.5284, 159.3783
510.0105, 162.6521
510.4926, 165.9451
510.9748, 170.1336
511.4569, 174.6273
511.9390, 177.9522
512.4211, 179.0671
512.9032, 180.7414
513.3853, 184.9170
513.8674, 190.3929
514.3495, 195.1280
514.8317, 198.7032
515.3138, 201.5633
515.7959, 204.0665
516.2780, 206.1780
516.7601, 208.6058
517.2422, 211.6518
517.7244, 214.6335
518.2065, 217.5308
518.6886, 220.1532
519.1707, 222.2091
519.6528, 223.6057
520.1349, 224.5855
520.6171, 225.5094
521.0992, 226.4362
521.5813, 227.0727
522.0634, 227.2964
522.5455, 227.3305
523.0276, 227.3676
523.5098, 227.2528
523.9919, 226.7323
524.4740, 225.7268
524.9561, 224.1744
525.4382, 221.8392
525.9203, 218.7217
526.4025, 215.4527
526.8846, 212.1472
527.3667, 208.7949
527.8488, 205.5190
528.3309, 202.2576
528.8130, 198.4150
529.2952, 193.6302
529.7773, 188.3425
530.2594, 182.8182
530.7415, 177.1058
531.2236, 171.2839
531.7057, 165.3517
532.1879, 159.4250
532.6700, 153.6883
533.1521, 147.8511
533.6342, 142.8986
534.1163, 139.8377
534.5984, 136.8500
535.0806, 132.6003
535.5627, 127.3645
536.0448, 122.1733
536.5269, 117.6739
537.0090, 113.7087
537.4911, 109.8630
537.9733, 105.9894
538.4554, 102.5005
538.9375, 99.67732
539.4196, 97.04075
539.9017, 94.28188
540.3839, 91.41458
540.8660, 88.65689
541.3481, 86.18697
541.8302, 83.89576
542.3123, 81.52500
542.7944, 79.06158
543.2766, 76.67124
543.7587, 74.43712
544.2408, 72.30965
544.7229, 70.16917
545.2050, 67.98335
545.6871, 66.04440
546.1693, 64.52646
546.6514, 63.26978
547.1335, 62.13348
547.6156, 61.09547
548.0977, 60.13019
548.5798, 59.25501
549.0620, 58.38873
549.5441, 57.26634
550.0262, 55.29563
550.5083, 53.87408
550.9904, 53.47440
551.4725, 53.27033
551.9547, 52.53803
552.4368, 51.36583
552.9189, 50.39794
553.4010, 50.18206
553.8831, 50.47173
554.3652, 50.22388
554.8474, 49.15950
555.3295, 48.26674
555.8116, 48.18102
556.2937, 48.08891
556.7758, 47.19395
557.2579, 45.54208
557.7401, 44.19273
558.2222, 44.05700
558.7043, 44.51002
559.1864, 44.42006
559.6685, 43.75566
560.1506, 43.10627
560.6328, 42.73461
561.1149, 42.57728
561.5970, 42.54351
562.0791, 42.71958
562.5612, 42.72663
563.0433, 42.28988
563.5255, 41.81048
564.0076, 41.79660
564.4897, 42.10622
564.9718, 42.01881
565.4539, 41.01716
565.9360, 39.46875
566.4182, 38.65126
566.9003, 39.04020
567.3824, 39.26707
567.8645, 39.16909
568.3466, 38.95855
568.8287, 38.77997
569.3109, 38.61410
569.7930, 38.34064
570.2751, 37.83525
570.7572, 37.22464
571.2393, 36.77004
571.7214, 36.47765
572.2036, 36.28202
572.6857, 36.20010
573.1678, 36.17199
573.6499, 36.09329
574.1320, 35.96539
574.6141, 35.96894
575.0963, 36.30015
575.5784, 36.66576
576.0605, 36.85168
576.5426, 36.85470
577.0247, 36.69701
577.5068, 36.38300
577.9890, 35.94337
578.4711, 35.39951
578.9532, 34.53263
579.4353, 34.14555
579.9174, 34.69697
580.3995, 35.20784
580.8817, 35.14090
581.3638, 34.69371
581.8459, 34.29106
582.3280, 34.13073
582.8101, 34.11503
583.2922, 34.08949
583.7744, 34.05038
584.2565, 34.07966
584.7386, 34.32270
585.2207, 34.44014
585.7029, 34.08852
586.1850, 33.43443
586.6671, 32.89124
587.1492, 32.50396
587.6313, 32.32423
588.1135, 32.48086
588.5956, 32.86398
589.0777, 33.25352
589.5598, 33.59705
590.0419, 33.82837
590.5240, 33.85218
591.0062, 33.65602
