##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
515.457, 1133.998
515.940, 1115.988
516.422, 1107.139
516.904, 1118.264
517.386, 1134.602
517.868, 1145.825
518.350, 1149.580
518.832, 1146.015
519.314, 1130.922
519.796, 1108.981
520.279, 1097.645
520.761, 1098.475
521.243, 1103.177
521.725, 1111.485
522.207, 1119.521
522.689, 1120.585
523.171, 1112.981
523.653, 1105.217
524.135, 1097.333
524.618, 1092.315
525.100, 1096.001
525.582, 1106.717
526.064, 1114.239
526.546, 1111.123
527.028, 1101.913
527.510, 1104.120
527.992, 1129.304
528.474, 1144.913
528.957, 1142.473
529.439, 1135.563
529.921, 1130.593
530.403, 1129.012
530.885, 1132.407
531.367, 1147.091
531.849, 1163.456
532.331, 1161.539
532.813, 1141.473
533.296, 1123.071
533.778, 1112.541
534.260, 1108.281
534.742, 1109.185
535.224, 1116.161
535.706, 1122.208
536.188, 1136.352
536.670, 1140.514
537.153, 1107.989
537.635, 1057.221
538.117, 1032.299
538.599, 1055.034
539.081, 1102.760
539.563, 1133.660
540.045, 1143.921
540.527, 1153.506
541.010, 1166.572
541.492, 1175.533
541.974, 1174.410
542.456, 1166.511
542.938, 1159.545
543.420, 1156.697
543.902, 1154.567
544.384, 1148.061
544.867, 1139.923
545.349, 1138.848
545.831, 1147.295
546.313, 1158.471
546.795, 1165.315
547.277, 1167.523
547.759, 1171.451
548.241, 1176.848
548.723, 1184.135
549.206, 1198.179
549.688, 1211.764
550.170, 1215.894
550.652, 1208.838
551.134, 1197.449
551.616, 1185.356
552.098, 1173.954
552.580, 1174.747
553.062, 1192.114
553.545, 1206.092
554.027, 1205.282
554.509, 1194.972
554.991, 1185.635
555.473, 1175.689
555.955, 1171.463
