##NAMES=Carnotite
##RRUFFID=R070647
##IDEAL CHEMISTRY=K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_&#183;3H_2_O
##LOCALITY=Anderson mine, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Orange blocky crystals associated with yellow platy weeksite, R050330
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070647
478.7003, 10276.22
479.1824, 10340.37
479.6646, 10396.07
480.1467, 10449.37
480.6288, 10498.72
481.1109, 10551.64
481.5930, 10629.45
482.0751, 10694.41
482.5573, 10712.01
483.0394, 10688.76
483.5215, 10659.28
484.0036, 10649.33
484.4857, 10653.87
484.9678, 10639.47
485.4500, 10593.39
485.9321, 10543.75
486.4142, 10487.49
486.8963, 10433.23
487.3784, 10393.99
487.8605, 10371.51
488.3427, 10346.54
488.8248, 10294.75
489.3069, 10215.01
489.7890, 10132.57
490.2711, 10033.96
490.7532, 9953.581
491.2354, 9913.343
491.7175, 9902.896
492.1996, 9898.156
492.6817, 9896.818
493.1638, 9890.435
493.6459, 9858.051
494.1281, 9802.964
494.6102, 9774.413
495.0923, 9799.245
495.5744, 9850.320
496.0565, 9878.494
496.5386, 9878.000
497.0208, 9885.842
497.5029, 9915.833
497.9850, 9954.902
498.4671, 9995.672
498.9492, 10034.59
499.4313, 10058.40
499.9135, 10051.21
500.3956, 10017.82
500.8777, 10023.76
501.3598, 10106.09
501.8419, 10183.29
502.3240, 10246.82
502.8062, 10296.36
503.2883, 10329.09
503.7704, 10345.30
504.2525, 10356.33
504.7346, 10379.93
505.2167, 10419.72
505.6989, 10445.78
506.1810, 10457.93
506.6631, 10454.18
507.1452, 10432.17
507.6273, 10394.87
508.1094, 10348.25
508.5916, 10292.97
509.0737, 10231.95
509.5558, 10169.66
510.0379, 10106.20
510.5200, 10035.71
511.0021, 9948.048
511.4843, 9862.188
511.9664, 9815.550
512.4485, 9816.120
512.9306, 9792.070
513.4127, 9694.337
513.8948, 9583.619
514.3770, 9520.615
514.8591, 9506.711
515.3412, 9511.500
515.8233, 9516.150
516.3054, 9519.738
516.7875, 9516.129
517.2697, 9490.336
517.7518, 9475.967
518.2339, 9478.491
518.7160, 9492.579
519.1981, 9514.217
519.6802, 9542.022
520.1624, 9574.695
520.6445, 9610.587
521.1266, 9649.632
521.6087, 9695.084
522.0908, 9750.120
522.5729, 9806.669
523.0551, 9851.439
523.5372, 9897.470
524.0193, 9966.162
524.5014, 10067.74
524.9835, 10185.21
525.4656, 10303.56
525.9478, 10423.23
526.4299, 10551.06
526.9120, 10690.69
527.3941, 10832.29
527.8762, 10962.85
528.3583, 11081.68
528.8405, 11204.15
529.3226, 11325.75
529.8047, 11457.04
530.2868, 11609.99
530.7689, 11779.12
531.2510, 11951.39
531.7332, 12120.63
532.2153, 12286.15
532.6974, 12445.54
533.1795, 12591.74
533.6616, 12744.80
534.1437, 12915.47
534.6259, 13083.82
535.1080, 13246.27
535.5901, 13396.68
536.0722, 13517.83
536.5543, 13592.51
537.0364, 13631.59
537.5186, 13666.54
538.0007, 13697.95
538.4828, 13724.42
538.9649, 13760.50
539.4470, 13780.79
539.9291, 13754.46
540.4113, 13676.16
540.8934, 13576.03
541.3755, 13468.77
541.8576, 13349.13
542.3397, 13210.40
542.8218, 13051.70
543.3040, 12873.16
