##NAMES=Ferronigerite-2N1S
##RRUFFID=R120083
##IDEAL CHEMISTRY=(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)
##LOCALITY=Seixoso quarry, Lixa, Portugal
##OWNER=RRUFF
##SOURCE=Robert Jenkins
##DESCRIPTION=Dark reddish-brown hexagonal tablets, frozen in matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120083
3.582141e+002, 1.309362e+003
3.586962e+002, 1.307937e+003
3.591783e+002, 1.305978e+003
3.596604e+002, 1.305008e+003
3.601425e+002, 1.306047e+003
3.606246e+002, 1.307630e+003
3.611068e+002, 1.308487e+003
3.615889e+002, 1.308484e+003
3.620710e+002, 1.307939e+003
3.625531e+002, 1.306932e+003
3.630352e+002, 1.305508e+003
3.635173e+002, 1.304969e+003
3.639995e+002, 1.306341e+003
3.644816e+002, 1.307497e+003
3.649637e+002, 1.306938e+003
3.654458e+002, 1.305318e+003
3.659279e+002, 1.304392e+003
3.664100e+002, 1.305120e+003
3.668922e+002, 1.307042e+003
3.673743e+002, 1.308697e+003
3.678564e+002, 1.310046e+003
3.683385e+002, 1.311199e+003
3.688206e+002, 1.312430e+003
3.693027e+002, 1.313356e+003
3.697849e+002, 1.313344e+003
3.702670e+002, 1.312256e+003
3.707491e+002, 1.310782e+003
3.712312e+002, 1.309912e+003
3.717133e+002, 1.310040e+003
3.721954e+002, 1.309560e+003
3.726776e+002, 1.307820e+003
3.731597e+002, 1.306072e+003
3.736418e+002, 1.305314e+003
3.741239e+002, 1.305358e+003
3.746060e+002, 1.305139e+003
3.750881e+002, 1.303715e+003
3.755703e+002, 1.301151e+003
3.760524e+002, 1.299491e+003
3.765345e+002, 1.299489e+003
3.770166e+002, 1.299506e+003
3.774987e+002, 1.299066e+003
3.779808e+002, 1.298451e+003
3.784630e+002, 1.298151e+003
3.789451e+002, 1.298393e+003
3.794272e+002, 1.298913e+003
3.799093e+002, 1.299031e+003
3.803914e+002, 1.298165e+003
3.808735e+002, 1.297902e+003
3.813557e+002, 1.298795e+003
3.818378e+002, 1.299890e+003
3.823199e+002, 1.300666e+003
3.828020e+002, 1.300953e+003
3.832841e+002, 1.300639e+003
3.837662e+002, 1.299449e+003
3.842484e+002, 1.297170e+003
3.847305e+002, 1.295455e+003
3.852126e+002, 1.294328e+003
3.856947e+002, 1.293772e+003
3.861768e+002, 1.294155e+003
3.866589e+002, 1.295095e+003
3.871411e+002, 1.295805e+003
3.876232e+002, 1.295711e+003
3.881053e+002, 1.295206e+003
3.885874e+002, 1.295856e+003
3.890695e+002, 1.298633e+003
