##NAMES=Glaucophane
##RRUFFID=R120002
##IDEAL CHEMISTRY=[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Cape Marmari, Grammata Bay, Syros Island, Aegean Sea, Greece
##OWNER=RRUFF
##SOURCE=Gunnar Farber
##DESCRIPTION=Dark green bladed, associated with colorless quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120002
3.807264e+002, 1.532310e+003
3.812085e+002, 1.544420e+003
3.816906e+002, 1.556222e+003
3.821728e+002, 1.567690e+003
3.826549e+002, 1.577552e+003
3.831370e+002, 1.583680e+003
3.836191e+002, 1.587140e+003
3.841012e+002, 1.592653e+003
3.845833e+002, 1.601523e+003
3.850655e+002, 1.609726e+003
3.855476e+002, 1.611034e+003
3.860297e+002, 1.606848e+003
3.865118e+002, 1.602231e+003
3.869939e+002, 1.600817e+003
3.874760e+002, 1.599912e+003
3.879582e+002, 1.595626e+003
3.884403e+002, 1.587842e+003
3.889224e+002, 1.577945e+003
3.894045e+002, 1.566059e+003
3.898866e+002, 1.553180e+003
3.903687e+002, 1.540544e+003
3.908509e+002, 1.528088e+003
3.913330e+002, 1.516769e+003
3.918151e+002, 1.507779e+003
3.922972e+002, 1.500658e+003
3.927793e+002, 1.493334e+003
3.932614e+002, 1.484106e+003
3.937436e+002, 1.474763e+003
3.942257e+002, 1.466379e+003
3.947078e+002, 1.459341e+003
3.951899e+002, 1.452931e+003
3.956720e+002, 1.446969e+003
3.961541e+002, 1.441438e+003
3.966363e+002, 1.436322e+003
3.971184e+002, 1.430801e+003
3.976005e+002, 1.426434e+003
3.980826e+002, 1.424079e+003
3.985647e+002, 1.424016e+003
3.990468e+002, 1.423827e+003
3.995290e+002, 1.424420e+003
4.000111e+002, 1.424157e+003
4.004932e+002, 1.421637e+003
4.009753e+002, 1.413026e+003
4.014574e+002, 1.407357e+003
4.019395e+002, 1.406426e+003
4.024217e+002, 1.409275e+003
4.029038e+002, 1.411475e+003
4.033859e+002, 1.412850e+003
4.038680e+002, 1.413849e+003
4.043501e+002, 1.414843e+003
4.048322e+002, 1.416236e+003
4.053144e+002, 1.415926e+003
4.057965e+002, 1.413080e+003
4.062786e+002, 1.409524e+003
4.067607e+002, 1.408677e+003
4.072428e+002, 1.411213e+003
4.077249e+002, 1.412657e+003
4.082071e+002, 1.410809e+003
4.086892e+002, 1.406438e+003
4.091713e+002, 1.404851e+003
4.096534e+002, 1.406407e+003
4.101355e+002, 1.408601e+003
4.106176e+002, 1.409150e+003
4.110998e+002, 1.408286e+003
4.115819e+002, 1.407444e+003
4.120640e+002, 1.407086e+003
4.125461e+002, 1.406543e+003
4.130282e+002, 1.404602e+003
4.135103e+002, 1.401405e+003
4.139925e+002, 1.397779e+003
4.144746e+002, 1.393639e+003
4.149567e+002, 1.389516e+003
4.154388e+002, 1.386426e+003
4.159209e+002, 1.384493e+003
4.164030e+002, 1.382882e+003
4.168852e+002, 1.381029e+003
4.173673e+002, 1.378988e+003
4.178494e+002, 1.376844e+003
4.183315e+002, 1.374690e+003
4.188136e+002, 1.372405e+003
4.192957e+002, 1.369767e+003
4.197779e+002, 1.366879e+003
4.202600e+002, 1.364169e+003
4.207421e+002, 1.361886e+003
4.212242e+002, 1.359868e+003
4.217063e+002, 1.358087e+003
4.221884e+002, 1.356661e+003
4.226706e+002, 1.355199e+003
4.231527e+002, 1.353213e+003
4.236348e+002, 1.351164e+003
4.241169e+002, 1.349901e+003
4.245990e+002, 1.350529e+003
4.250811e+002, 1.350978e+003
4.255633e+002, 1.350406e+003
4.260454e+002, 1.348547e+003
4.265275e+002, 1.347361e+003
4.270096e+002, 1.346823e+003
4.274917e+002, 1.346924e+003
4.279738e+002, 1.347766e+003
4.284560e+002, 1.349928e+003
4.289381e+002, 1.351554e+003
4.294202e+002, 1.352380e+003
4.299023e+002, 1.352509e+003
4.303844e+002, 1.352246e+003
4.308665e+002, 1.351467e+003
4.313487e+002, 1.350654e+003
4.318308e+002, 1.350233e+003
4.323129e+002, 1.350273e+003
4.327950e+002, 1.349197e+003
4.332771e+002, 1.346545e+003
4.337592e+002, 1.344020e+003
4.342414e+002, 1.343969e+003
4.347235e+002, 1.346246e+003
4.352056e+002, 1.349169e+003
4.356877e+002, 1.353077e+003
4.361698e+002, 1.356716e+003
4.366519e+002, 1.356602e+003
4.371341e+002, 1.352946e+003
4.376162e+002, 1.349507e+003
4.380983e+002, 1.349142e+003
4.385804e+002, 1.350831e+003
4.390625e+002, 1.353088e+003
4.395446e+002, 1.355977e+003
4.400268e+002, 1.358361e+003
4.405089e+002, 1.358324e+003
4.409910e+002, 1.357054e+003
4.414731e+002, 1.356972e+003
4.419552e+002, 1.360714e+003
4.424373e+002, 1.364756e+003
4.429195e+002, 1.366438e+003
4.434016e+002, 1.365743e+003
4.438837e+002, 1.365665e+003
4.443658e+002, 1.368733e+003
4.448479e+002, 1.372162e+003
4.453300e+002, 1.373696e+003
4.458122e+002, 1.370911e+003
4.462943e+002, 1.368786e+003
4.467764e+002, 1.368818e+003
4.472585e+002, 1.370117e+003
4.477406e+002, 1.370417e+003
4.482227e+002, 1.369164e+003
