##NAMES=Mottramite
##RRUFFID=R120112
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^V^5+^O_4_(OH)
##LOCALITY=Copperopolis, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Ruiz
##DESCRIPTION=Radial sprays of yellow transparent needles, variety duhamelite; associated with goethite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120112
3.664101e+002, 9.032460e+002
3.668922e+002, 9.057735e+002
3.673743e+002, 9.075799e+002
3.678564e+002, 9.080073e+002
3.683385e+002, 9.086924e+002
3.688206e+002, 9.106313e+002
3.693028e+002, 9.125970e+002
3.697849e+002, 9.131522e+002
3.702670e+002, 9.119001e+002
3.707491e+002, 9.093972e+002
3.712312e+002, 9.062926e+002
3.717133e+002, 9.022479e+002
3.721955e+002, 8.986962e+002
3.726776e+002, 8.967801e+002
3.731597e+002, 8.943947e+002
3.736418e+002, 8.899128e+002
3.741239e+002, 8.836055e+002
3.746060e+002, 8.769630e+002
3.750882e+002, 8.710764e+002
3.755703e+002, 8.659520e+002
3.760524e+002, 8.608806e+002
3.765345e+002, 8.563743e+002
3.770166e+002, 8.513209e+002
3.774987e+002, 8.447170e+002
3.779809e+002, 8.375828e+002
3.784630e+002, 8.315733e+002
3.789451e+002, 8.274623e+002
3.794272e+002, 8.242742e+002
3.799093e+002, 8.196312e+002
3.803914e+002, 8.121912e+002
3.808736e+002, 8.054525e+002
3.813557e+002, 7.991326e+002
3.818378e+002, 7.937504e+002
3.823199e+002, 7.900059e+002
3.828020e+002, 7.877798e+002
3.832841e+002, 7.860585e+002
3.837663e+002, 7.837631e+002
3.842484e+002, 7.808204e+002
3.847305e+002, 7.777247e+002
3.852126e+002, 7.741829e+002
3.856947e+002, 7.707444e+002
3.861768e+002, 7.677601e+002
3.866590e+002, 7.649997e+002
3.871411e+002, 7.618771e+002
3.876232e+002, 7.578746e+002
3.881053e+002, 7.534778e+002
3.885874e+002, 7.505845e+002
3.890695e+002, 7.500964e+002
3.895517e+002, 7.494557e+002
3.900338e+002, 7.478680e+002
3.905159e+002, 7.459861e+002
3.909980e+002, 7.445994e+002
3.914801e+002, 7.439090e+002
3.919622e+002, 7.430285e+002
3.924444e+002, 7.404267e+002
3.929265e+002, 7.357995e+002
3.934086e+002, 7.324972e+002
3.938907e+002, 7.322246e+002
3.943728e+002, 7.322099e+002
3.948549e+002, 7.309694e+002
3.953371e+002, 7.286002e+002
3.958192e+002, 7.257766e+002
3.963013e+002, 7.224399e+002
3.967834e+002, 7.189846e+002
3.972655e+002, 7.169306e+002
3.977477e+002, 7.168058e+002
3.982298e+002, 7.167255e+002
3.987119e+002, 7.150355e+002
3.991940e+002, 7.129880e+002
3.996761e+002, 7.125078e+002
4.001582e+002, 7.147546e+002
4.006404e+002, 7.171695e+002
4.011225e+002, 7.168146e+002
4.016046e+002, 7.138539e+002
4.020867e+002, 7.111664e+002
4.025688e+002, 7.095418e+002
4.030509e+002, 7.086531e+002
4.035331e+002, 7.081632e+002
4.040152e+002, 7.080807e+002
4.044973e+002, 7.079183e+002
4.049794e+002, 7.074280e+002
4.054615e+002, 7.067296e+002
4.059436e+002, 7.061969e+002
4.064258e+002, 7.059617e+002
4.069079e+002, 7.051455e+002
4.073900e+002, 7.022723e+002
4.078721e+002, 6.980506e+002
4.083542e+002, 6.960234e+002
4.088363e+002, 6.987562e+002
4.093185e+002, 7.016804e+002
4.098006e+002, 7.017398e+002
4.102827e+002, 6.994872e+002
4.107648e+002, 6.968356e+002
4.112469e+002, 6.945698e+002
4.117290e+002, 6.924998e+002
4.122112e+002, 6.900921e+002
4.126933e+002, 6.868405e+002
4.131754e+002, 6.845189e+002
4.136575e+002, 6.843173e+002
4.141396e+002, 6.847199e+002
4.146217e+002, 6.839934e+002
4.151039e+002, 6.819030e+002
4.155860e+002, 6.795799e+002
4.160681e+002, 6.781967e+002
4.165502e+002, 6.778900e+002
4.170323e+002, 6.769884e+002
4.175144e+002, 6.751930e+002
4.179966e+002, 6.732191e+002
4.184787e+002, 6.711553e+002
4.189608e+002, 6.691501e+002
4.194429e+002, 6.673867e+002
4.199250e+002, 6.659577e+002
4.204071e+002, 6.648717e+002
4.208893e+002, 6.642380e+002
4.213714e+002, 6.654940e+002
4.218535e+002, 6.649162e+002
4.223356e+002, 6.605623e+002
4.228177e+002, 6.557426e+002
4.232998e+002, 6.531447e+002
4.237820e+002, 6.529991e+002
4.242641e+002, 6.536985e+002
4.247462e+002, 6.537190e+002
4.252283e+002, 6.530566e+002
4.257104e+002, 6.517374e+002
4.261925e+002, 6.486950e+002
4.266747e+002, 6.461441e+002
4.271568e+002, 6.451865e+002
4.276389e+002, 6.450216e+002
4.281210e+002, 6.441458e+002
4.286031e+002, 6.416371e+002
4.290852e+002, 6.388810e+002
4.295674e+002, 6.393397e+002
4.300495e+002, 6.444936e+002
4.305316e+002, 6.475352e+002
4.310137e+002, 6.447861e+002
4.314958e+002, 6.407517e+002
4.319779e+002, 6.381329e+002
4.324601e+002, 6.371254e+002
4.329422e+002, 6.364406e+002
4.334243e+002, 6.349163e+002
4.339064e+002, 6.328644e+002
4.343885e+002, 6.317277e+002
4.348706e+002, 6.318759e+002
4.353528e+002, 6.322294e+002
4.358349e+002, 6.318424e+002
4.363170e+002, 6.312226e+002
4.367991e+002, 6.313494e+002
4.372812e+002, 6.330095e+002
4.377633e+002, 6.347126e+002
4.382455e+002, 6.349979e+002
4.387276e+002, 6.340149e+002
4.392097e+002, 6.327496e+002
4.396918e+002, 6.314168e+002
4.401739e+002, 6.301303e+002
4.406560e+002, 6.290535e+002
4.411382e+002, 6.281629e+002
4.416203e+002, 6.274614e+002
4.421024e+002, 6.266769e+002
4.425845e+002, 6.262326e+002
4.430666e+002, 6.269044e+002
4.435487e+002, 6.286718e+002
4.440309e+002, 6.303381e+002
4.445130e+002, 6.309210e+002
4.449951e+002, 6.305715e+002
4.454772e+002, 6.308121e+002
4.459593e+002, 6.329054e+002
4.464414e+002, 6.340469e+002
4.469236e+002, 6.323730e+002
4.474057e+002, 6.295040e+002
4.478878e+002, 6.280770e+002
4.483699e+002, 6.289666e+002
4.488520e+002, 6.306875e+002
4.493341e+002, 6.308201e+002
4.498163e+002, 6.281085e+002
4.502984e+002, 6.274597e+002
4.507805e+002, 6.311730e+002
4.512626e+002, 6.345189e+002
