##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
377.3033, 301.8051
377.7854, 302.5356
378.2675, 302.5666
378.7497, 301.4315
379.2318, 299.6866
379.7139, 298.7526
380.1960, 298.6908
380.6781, 298.8295
381.1602, 298.8736
381.6424, 298.8182
382.1245, 298.5817
382.6066, 298.1320
383.0887, 297.6315
383.5708, 297.2521
384.0529, 296.9922
384.5351, 296.8283
385.0172, 296.9327
385.4993, 297.0449
385.9814, 296.5278
386.4635, 295.4198
386.9456, 294.4613
387.4278, 294.4356
387.9099, 294.9239
388.3920, 295.2450
388.8741, 295.1588
389.3562, 294.9683
389.8383, 295.0459
390.3205, 295.2498
390.8026, 295.1821
391.2847, 294.1458
391.7668, 293.0694
392.2489, 292.7212
392.7310, 293.3040
393.2132, 294.0411
393.6953, 294.8770
394.1774, 295.5463
394.6595, 295.7281
395.1416, 294.6958
395.6237, 293.7613
396.1059, 293.3839
396.5880, 293.5556
397.0701, 293.9143
397.5522, 294.5732
398.0343, 295.2719
398.5164, 295.8499
398.9986, 295.7803
399.4807, 296.2640
399.9628, 297.4276
400.4449, 299.1584
400.9270, 301.2666
401.4091, 304.3702
401.8913, 307.0310
402.3734, 308.8471
402.8555, 309.8220
403.3376, 309.8317
403.8197, 308.4270
404.3018, 306.5782
404.7840, 305.2589
405.2661, 304.4728
405.7482, 304.2258
406.2303, 304.6616
406.7124, 305.5986
407.1945, 306.2464
407.6767, 306.5301
408.1588, 306.8748
408.6409, 307.5672
409.1230, 308.5906
409.6051, 309.8470
410.0872, 311.4457
410.5694, 312.9622
411.0515, 313.5763
411.5336, 313.4296
412.0157, 313.3716
412.4978, 313.8098
412.9799, 314.5868
413.4621, 315.5153
413.9442, 316.5986
414.4263, 317.4739
414.9084, 317.6639
415.3905, 317.5029
415.8727, 317.5130
416.3548, 317.7844
416.8369, 318.3521
417.3190, 319.3703
417.8011, 320.7186
418.2832, 322.0981
418.7654, 323.6220
419.2475, 324.9258
419.7296, 325.5618
420.2117, 325.3372
420.6938, 325.4311
421.1759, 326.3779
421.6581, 327.8442
422.1402, 329.4928
422.6223, 331.6963
423.1044, 333.5796
423.5865, 334.6350
424.0686, 335.0067
424.5508, 335.8730
425.0329, 337.9838
425.5150, 340.0844
425.9971, 341.5797
426.4792, 342.0381
426.9613, 342.7876
427.4435, 343.8883
427.9256, 345.2495
428.4077, 346.7339
428.8898, 348.3945
429.3719, 350.1115
429.8540, 351.8796
430.3362, 353.6874
430.8183, 355.5504
431.3004, 357.5443
431.7825, 359.3457
432.2646, 360.5685
432.7467, 361.2061
433.2289, 362.0804
433.7110, 363.4109
434.1931, 364.7979
434.6752, 365.5058
435.1573, 365.5623
435.6394, 365.2939
436.1216, 364.7179
436.6037, 363.9581
437.0858, 363.1879
437.5679, 362.3967
438.0500, 361.9262
438.5321, 362.3122
439.0142, 363.1813
439.4963, 363.9020
439.9785, 364.2445
440.4606, 364.4455
440.9427, 364.4557
441.4248, 364.4406
441.9069, 364.8893
442.3890, 366.4977
442.8712, 368.3283
443.3533, 369.7303
443.8354, 370.5278
444.3175, 371.4334
444.7996, 372.2876
445.2817, 373.5199
445.7639, 375.5859
446.2460, 379.5625
446.7281, 383.2924
447.2102, 385.9883
447.6923, 387.8884
448.1744, 390.6495
448.6566, 394.9167
449.1387, 399.3704
449.6208, 403.3316
450.1029, 406.3925
450.5850, 410.3227
451.0671, 415.4613
451.5493, 421.0652
452.0314, 426.1580
452.5135, 430.7082
452.9956, 434.6785
453.4777, 437.8769
453.9598, 440.4796
454.4420, 443.2910
454.9241, 446.2954
455.4062, 449.4553
455.8883, 452.7971
456.3704, 456.2714
456.8525, 459.6499
457.3347, 462.8843
457.8168, 465.8823
458.2989, 468.7003
458.7810, 471.1851
459.2631, 472.7924
459.7452, 473.0085
460.2274, 472.4174
460.7095, 471.7395
461.1916, 470.9091
461.6737, 469.4523
462.1558, 467.1520
462.6379, 464.0361
463.1201, 460.0746
463.6022, 455.0238
464.0843, 449.5928
464.5664, 443.8165
465.0485, 437.8812
465.5306, 432.0854
466.0128, 426.5418
466.4949, 421.0991
466.9770, 415.4890
467.4591, 409.6833
467.9412, 405.0179
468.4233, 401.8037
468.9055, 399.4349
469.3876, 397.6070
469.8697, 396.6751
470.3518, 395.4474
470.8339, 393.4737
471.3160, 391.5004
471.7982, 391.0692
472.2803, 392.5433
472.7624, 394.1289
473.2445, 395.2725
473.7266, 396.0228
474.2087, 396.5449
474.6909, 396.7987
475.1730, 397.1164
475.6551, 397.7168
476.1372, 398.5976
476.6193, 399.9785
477.1014, 402.1366
477.5836, 403.9682
478.0657, 403.6914
478.5478, 401.8990
479.0299, 400.3102
479.5120, 400.3514
479.9941, 400.5352
480.4763, 399.2336
480.9584, 396.5777
481.4405, 394.0530
481.9226, 392.8696
482.4047, 391.9316
482.8868, 390.2715
483.3690, 387.2570
483.8511, 384.4821
484.3332, 382.9014
484.8153, 381.7525
485.2974, 379.7557
485.7795, 375.7375
486.2617, 371.9423
486.7438, 369.0532
487.2259, 367.0343
487.7080, 364.3365
488.1901, 360.2255
488.6722, 356.3613
489.1544, 353.8595
489.6365, 353.2331
490.1186, 352.0490
490.6007, 350.1266
491.0828, 347.7820
491.5649, 345.3325
492.0471, 342.7795
492.5292, 340.5380
493.0113, 338.8832
493.4934, 337.5864
493.9755, 335.8839
494.4576, 333.8143
494.9398, 331.9776
495.4219, 331.0183
495.9040, 330.5553
496.3861, 329.9831
496.8682, 329.2344
497.3503, 328.2804
497.8325, 326.9423
498.3146, 325.4138
498.7967, 323.9668
499.2788, 322.4903
499.7609, 321.3498
500.2430, 321.0049
500.7252, 321.2515
501.2073, 321.1611
501.6894, 319.8900
502.1715, 318.6927
502.6536, 318.2700
503.1357, 319.1516
503.6179, 319.4542
504.1000, 318.5737
504.5821, 317.4634
505.0642, 317.1078
505.5463, 317.9063
506.0284, 318.5631
506.5106, 318.8583
506.9927, 318.8859
507.4748, 318.9210
507.9569, 318.9338
508.4390, 319.0718
508.9211, 319.3577
509.4033, 319.8076
509.8854, 320.7307
510.3675, 322.1967
510.8496, 323.5358
511.3317, 324.0411
511.8138, 323.8951
512.2960, 323.5440
512.7781, 322.9949
513.2602, 322.4743
513.7423, 322.3956
