##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
491.5297, 7983.486
492.0118, 7952.653
492.4939, 7920.682
492.9760, 7891.846
493.4582, 7865.996
493.9403, 7840.117
494.4224, 7812.300
494.9045, 7783.808
495.3866, 7758.224
495.8687, 7735.792
496.3509, 7714.610
496.8330, 7694.770
497.3151, 7675.556
497.7972, 7656.565
498.2793, 7637.596
498.7614, 7618.060
499.2436, 7597.341
499.7257, 7575.617
500.2078, 7555.188
500.6899, 7539.000
501.1720, 7520.432
501.6541, 7495.889
502.1363, 7469.706
502.6184, 7446.691
503.1005, 7427.997
503.5826, 7410.853
504.0647, 7391.294
504.5468, 7368.705
505.0290, 7350.475
505.5111, 7340.462
505.9932, 7330.139
506.4753, 7317.104
506.9575, 7301.453
507.4396, 7282.753
507.9217, 7259.975
508.4038, 7237.109
508.8859, 7219.688
509.3680, 7207.386
509.8502, 7195.186
510.3323, 7182.124
510.8144, 7168.560
511.2965, 7155.236
511.7786, 7141.947
512.2607, 7126.656
512.7429, 7106.728
513.2250, 7086.303
513.7071, 7069.251
514.1892, 7054.889
514.6713, 7039.338
515.1534, 7020.376
515.6356, 7000.677
516.1177, 6985.844
516.5998, 6979.538
517.0819, 6969.682
517.5640, 6953.338
518.0461, 6935.583
518.5283, 6919.953
519.0104, 6906.114
519.4925, 6891.826
519.9746, 6875.458
520.4567, 6857.884
520.9388, 6842.573
521.4210, 6831.484
521.9031, 6818.899
522.3852, 6802.329
522.8673, 6785.479
523.3494, 6771.304
523.8315, 6759.689
524.3137, 6748.308
524.7958, 6736.072
525.2779, 6722.624
525.7600, 6706.311
526.2421, 6686.115
526.7242, 6666.929
527.2064, 6651.392
527.6885, 6637.893
528.1706, 6624.614
528.6527, 6611.695
529.1348, 6597.889
529.6169, 6582.395
530.0991, 6565.650
530.5812, 6548.075
531.0633, 6529.761
531.5454, 6511.443
