##NAMES=Diamond
##RRUFFID=R050204
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050204
987.7210, 7429.000
988.9740, 7429.000
990.2260, 7439.000
991.4780, 7448.866
992.7300, 7488.000
993.9820, 7488.000
995.2330, 7478.000
996.4840, 7494.000
997.7350, 7546.000
998.9860, 7538.000
1000.237, 7457.000
1001.487, 7538.000
1002.738, 7464.000
1003.988, 7560.000
1005.237, 7585.000
1006.487, 7628.000
1007.737, 7575.000
1008.986, 7599.269
1010.235, 7607.000
1011.484, 7588.000
1012.732, 7617.000
1013.981, 7623.000
1015.229, 7561.000
1016.477, 7618.000
1017.725, 7627.000
1018.973, 7548.000
1020.220, 7637.000
1021.468, 7616.000
1022.715, 7652.000
1023.962, 7718.000
1025.208, 7674.000
1026.455, 7747.000
1027.701, 7790.000
1028.947, 7678.000
1030.193, 7755.000
1031.439, 7715.000
1032.684, 7775.000
1033.930, 7780.000
1035.175, 7775.000
1036.420, 7868.000
1037.665, 7775.000
1038.909, 7785.000
1040.154, 7918.000
1041.398, 7782.000
1042.642, 7775.000
1043.885, 7938.000
1045.129, 7866.000
1046.372, 7836.000
1047.615, 7767.000
1048.858, 7864.000
1050.101, 7872.000
1051.344, 7985.000
1052.586, 7910.000
1053.828, 7926.000
1055.070, 7974.000
1056.312, 7895.000
1057.554, 7910.000
1058.795, 7873.000
1060.036, 7872.000
1061.277, 7894.171
1062.518, 7862.000
1063.759, 7961.000
1064.999, 7943.000
1066.240, 8006.000
1067.480, 8009.000
1068.719, 8034.000
1069.959, 8001.000
1071.199, 8084.000
1072.438, 8039.000
1073.677, 8050.984
1074.916, 8143.000
1076.154, 8060.000
1077.393, 8075.000
1078.631, 8125.000
1079.869, 8109.000
1081.107, 8096.000
1082.345, 8092.000
1083.582, 8247.000
1084.820, 8079.000
1086.057, 8184.000
1087.294, 8084.000
1088.530, 8213.000
1089.767, 8107.000
1091.003, 8096.000
1092.239, 8208.000
1093.475, 8111.000
1094.711, 8208.000
1095.947, 8330.000
1097.182, 8111.000
1098.417, 8211.000
1099.652, 8064.000
1100.887, 8170.000
1102.122, 8102.000
1103.356, 8276.000
1104.590, 8354.000
1105.824, 8193.000
1107.058, 8298.000
1108.292, 8249.000
1109.525, 8264.000
1110.758, 8232.000
1111.991, 8281.000
1113.224, 8329.000
1114.457, 8246.000
1115.689, 8416.000
1116.922, 8314.000
1118.154, 8305.000
1119.385, 8302.000
1120.617, 8397.000
1121.849, 8265.000
1123.080, 8321.000
1124.311, 8451.000
1125.542, 8378.000
1126.773, 8379.000
1128.003, 8412.000
1129.234, 8366.000
1130.464, 8418.000
1131.694, 8418.000
1132.923, 8438.000
1134.153, 8460.173
1135.382, 8462.732
1136.612, 8495.000
1137.841, 8456.000
1139.069, 8479.000
