##NAMES=Creaseyite
##RRUFFID=R140557
##IDEAL CHEMISTRY=Cu^2+^_2_Pb^2+^_2_Fe^3+^_2_Si_5_O_17_&#183;6H_2_O
##LOCALITY=Evening Star mine, Tiger Wash, Belmont Mountain, Tonopah, Osborn District, Big Horn Mts, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Radiating aggregate of acicular pale-green crystals, associated with prismatic yellow hedyphane.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140557
3.800174e+002, 5.047673e+003
3.804995e+002, 4.963430e+003
3.809817e+002, 4.881229e+003
3.814638e+002, 4.801435e+003
3.819459e+002, 4.723433e+003
3.824280e+002, 4.647579e+003
3.829101e+002, 4.573931e+003
3.833922e+002, 4.504593e+003
3.838744e+002, 4.438849e+003
3.843565e+002, 4.375633e+003
3.848386e+002, 4.314928e+003
3.853207e+002, 4.256242e+003
3.858028e+002, 4.200694e+003
3.862849e+002, 4.147909e+003
3.867671e+002, 4.097856e+003
3.872492e+002, 4.050466e+003
3.877313e+002, 4.005401e+003
3.882134e+002, 3.962833e+003
3.886955e+002, 3.924101e+003
3.891776e+002, 3.887680e+003
3.896598e+002, 3.852548e+003
3.901419e+002, 3.818770e+003
3.906240e+002, 3.784974e+003
3.911061e+002, 3.748821e+003
3.915882e+002, 3.712579e+003
3.920703e+002, 3.678503e+003
3.925525e+002, 3.647805e+003
3.930346e+002, 3.618721e+003
3.935167e+002, 3.588705e+003
3.939988e+002, 3.559138e+003
3.944809e+002, 3.533479e+003
3.949630e+002, 3.514812e+003
3.954452e+002, 3.498879e+003
3.959273e+002, 3.484100e+003
3.964094e+002, 3.471091e+003
3.968915e+002, 3.456605e+003
3.973736e+002, 3.437308e+003
3.978557e+002, 3.417061e+003
3.983379e+002, 3.400628e+003
3.988200e+002, 3.392611e+003
3.993021e+002, 3.383954e+003
3.997842e+002, 3.371925e+003
4.002663e+002, 3.356516e+003
4.007484e+002, 3.344165e+003
4.012306e+002, 3.335352e+003
4.017127e+002, 3.329183e+003
4.021948e+002, 3.325734e+003
4.026769e+002, 3.328068e+003
4.031590e+002, 3.325836e+003
4.036411e+002, 3.315218e+003
4.041233e+002, 3.301157e+003
4.046054e+002, 3.297053e+003
4.050875e+002, 3.306601e+003
4.055696e+002, 3.315322e+003
4.060517e+002, 3.316191e+003
4.065338e+002, 3.308909e+003
4.070160e+002, 3.306086e+003
4.074981e+002, 3.308538e+003
4.079802e+002, 3.313389e+003
4.084623e+002, 3.316775e+003
4.089444e+002, 3.318839e+003
4.094265e+002, 3.324243e+003
4.099087e+002, 3.335831e+003
4.103908e+002, 3.350251e+003
4.108729e+002, 3.358250e+003
4.113550e+002, 3.360111e+003
4.118371e+002, 3.362737e+003
4.123192e+002, 3.371049e+003
4.128014e+002, 3.383857e+003
4.132835e+002, 3.398773e+003
4.137656e+002, 3.415902e+003
4.142477e+002, 3.433730e+003
4.147298e+002, 3.451032e+003
4.152119e+002, 3.467687e+003
4.156941e+002, 3.482975e+003
4.161762e+002, 3.494878e+003
4.166583e+002, 3.506445e+003
4.171404e+002, 3.520854e+003
4.176225e+002, 3.538113e+003
4.181046e+002, 3.554970e+003
4.185868e+002, 3.569518e+003
4.190689e+002, 3.582818e+003
4.195510e+002, 3.596095e+003
