##NAMES=Osmium
##RRUFFID=R080088
##IDEAL CHEMISTRY=Os
##LOCALITY=Goodnews Bay, Bethel Borough, Alaska, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Navy blue, fine powder
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080088
549.5700, 6.337458
550.0521, 6.283059
550.5342, 6.474024
551.0164, 6.583274
551.4985, 6.563209
551.9806, 6.522920
552.4627, 6.514076
552.9448, 6.519628
553.4269, 6.467356
553.9091, 6.312467
554.3912, 6.194773
554.8733, 6.442053
555.3554, 7.147729
555.8375, 7.574008
556.3196, 7.496797
556.8018, 7.257461
557.2839, 7.024053
557.7660, 6.813294
558.2481, 6.673233
558.7302, 6.654995
559.2123, 6.674391
559.6945, 6.658578
560.1766, 6.609282
560.6587, 6.509159
561.1408, 6.325440
561.6229, 6.187476
562.1050, 6.308509
562.5872, 6.756065
563.0693, 6.934455
563.5514, 6.573195
564.0335, 6.206453
564.5156, 6.093885
564.9977, 6.172594
565.4799, 6.320506
565.9620, 6.486718
566.4441, 6.657187
566.9262, 6.818066
567.4083, 6.985570
567.8904, 7.077729
568.3726, 7.098037
568.8547, 7.031125
569.3368, 6.807982
569.8189, 6.509084
570.3010, 6.230208
570.7831, 5.980355
571.2653, 5.884320
571.7474, 6.232094
572.2295, 6.940836
572.7116, 7.315557
573.1937, 7.167077
573.6758, 6.861345
574.1580, 6.652165
574.6401, 6.530520
575.1222, 6.462540
575.6043, 6.514442
576.0864, 6.540711
576.5685, 6.401926
577.0507, 6.209913
577.5328, 6.185758
578.0149, 6.374977
578.4970, 6.583422
578.9791, 6.586010
579.4612, 6.368686
579.9434, 6.300560
580.4255, 6.578675
580.9076, 6.776087
581.3897, 6.771840
581.8718, 6.671079
582.3539, 6.581824
582.8361, 6.531737
583.3182, 6.496594
583.8003, 6.441253
584.2824, 6.374145
584.7645, 6.366412
585.2466, 6.439158
585.7288, 6.511664
586.2108, 6.542482
586.6929, 6.550116
587.1750, 6.577538
587.6572, 6.651954
588.1393, 6.638931
588.6214, 6.326433
589.1035, 5.967565
589.5856, 5.968843
590.0677, 6.326240
590.5499, 6.656881
591.0320, 6.710374
591.5141, 6.555136
591.9962, 6.442518
592.4783, 6.378947
592.9604, 6.354577
593.4426, 6.358131
593.9247, 6.408860
594.4068, 6.580109
594.8889, 6.817525
595.3710, 6.954263
595.8531, 6.858158
596.3353, 6.642745
596.8174, 6.588936
597.2995, 6.729301
597.7816, 6.851325
598.2637, 6.939532
598.7458, 6.956831
599.2280, 6.830736
599.7101, 6.595420
600.1922, 6.437042
600.6743, 6.483248
601.1564, 6.569566
601.6385, 6.545275
602.1207, 6.446795
602.6028, 6.393484
603.0849, 6.428309
603.5670, 6.478346
604.0491, 6.436992
604.5313, 6.270274
605.0134, 6.227652
605.4955, 6.456322
605.9776, 6.622865
606.4597, 6.568559
606.9418, 6.414608
607.4240, 6.317623
607.9061, 6.323181
608.3882, 6.372571
608.8703, 6.428512
609.3524, 6.484403
609.8345, 6.415916
610.3167, 6.128763
610.7988, 5.950643
611.2809, 6.173880
611.7630, 6.544158
612.2451, 6.701051
612.7272, 6.572930
613.2094, 6.434039
613.6915, 6.416681
614.1736, 6.452661
614.6557, 6.462314
615.1378, 6.439797
615.6199, 6.396391
616.1021, 6.329930
616.5842, 6.270550
617.0663, 6.310016
617.5484, 6.566330
618.0305, 6.721281
618.5126, 6.758204
618.9948, 6.719606
619.4769, 6.573999
619.9590, 6.376118
620.4411, 6.240908
620.9232, 6.231908
621.4053, 6.285588
621.8875, 6.300544
622.3696, 6.277731
622.8517, 6.283455
623.3338, 6.349472
623.8159, 6.405823
624.2980, 6.383154
624.7802, 6.302361
625.2623, 6.228230
625.7444, 6.131940
626.2265, 6.089837
626.7086, 6.193007
627.1907, 6.347934
627.6729, 6.396811
628.1550, 6.324184
628.6371, 6.275873
629.1192, 6.397265
629.6013, 6.652399
630.0834, 6.734756
630.5656, 6.524019
631.0477, 6.337192
631.5298, 6.196291
632.0119, 6.111439
632.4940, 6.123000
632.9761, 6.208592
633.4583, 6.264975
633.9404, 6.207239
634.4225, 6.105010
634.9046, 6.064405
635.3867, 6.083028
635.8688, 6.137184
636.3510, 6.229465
636.8331, 6.331044
637.3152, 6.410005
637.7973, 6.464891
638.2794, 6.505719
638.7615, 6.584405
639.2437, 6.591800
639.7258, 6.416350
640.2079, 6.169106
640.6900, 5.966128
641.1721, 5.854410
641.6542, 5.905775
642.1364, 6.290817
642.6185, 6.953936
643.1006, 7.084962
643.5827, 6.382586
644.0648, 5.814396
644.5469, 5.837391
645.0291, 6.076715
645.5112, 6.205764
645.9933, 6.201644
646.4754, 6.242646
646.9575, 6.490932
647.4396, 6.764270
647.9218, 6.883751
648.4039, 6.852302
648.8860, 6.676022
649.3681, 6.338504
649.8502, 6.001282
650.3323, 5.915502
650.8145, 6.134570
651.2966, 6.364293
651.7787, 6.689597
652.2608, 6.927102
652.7429, 6.986663
653.2250, 6.941407
653.7072, 6.902394
654.1893, 6.892696
654.6714, 6.801514
655.1535, 6.355919
655.6356, 5.746015
656.1177, 5.733837
656.5999, 6.425698
657.0820, 6.967206
657.5641, 6.893734
658.0462, 6.508541
658.5283, 6.397019
659.0104, 6.627080
659.4926, 6.727344
659.9747, 6.512260
660.4568, 6.262796
660.9389, 6.130986
661.4210, 6.106277
661.9031, 6.167840
662.3853, 6.302484
662.8674, 6.427165
663.3495, 6.401606
