##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
4.440308e+002, 8.653687e+001
4.445129e+002, 8.631399e+001
4.449951e+002, 8.614334e+001
4.454772e+002, 8.619511e+001
4.459593e+002, 8.682841e+001
4.464414e+002, 8.723536e+001
4.469235e+002, 8.711450e+001
4.474056e+002, 8.662994e+001
4.478878e+002, 8.598611e+001
4.483699e+002, 8.525804e+001
4.488520e+002, 8.450422e+001
4.493341e+002, 8.380623e+001
4.498162e+002, 8.316931e+001
4.502983e+002, 8.258813e+001
4.507805e+002, 8.228295e+001
4.512626e+002, 8.182657e+001
4.517447e+002, 8.090304e+001
4.522268e+002, 7.962995e+001
4.527089e+002, 7.834410e+001
