##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
461.3813, 805.4518
461.8634, 796.9119
462.3456, 789.5212
462.8277, 782.1658
463.3098, 774.1130
463.7919, 766.1018
464.2740, 758.4450
464.7561, 751.1404
465.2383, 744.0944
465.7204, 737.1915
466.2025, 730.5627
466.6846, 724.3349
467.1667, 718.3526
467.6488, 713.0470
468.1310, 708.8134
468.6131, 705.1285
469.0952, 701.0065
469.5773, 695.8629
470.0594, 691.2487
470.5415, 687.6711
471.0237, 685.1023
471.5058, 682.2438
471.9879, 679.1979
472.4700, 675.6350
472.9521, 670.9567
473.4342, 665.0323
473.9164, 660.4136
474.3985, 657.5428
474.8806, 655.5352
475.3627, 652.8480
475.8448, 649.5646
476.3270, 646.5408
476.8091, 644.3887
477.2912, 642.6666
477.7733, 640.5137
478.2554, 637.9519
478.7375, 635.3116
479.2197, 632.6564
479.7018, 630.1287
480.1839, 628.0224
480.6660, 626.5577
481.1481, 625.0701
481.6302, 623.5261
482.1124, 621.6114
482.5945, 618.7938
483.0766, 612.3313
483.5587, 607.2457
484.0408, 606.9102
484.5229, 611.1852
485.0051, 613.5833
485.4872, 611.2602
485.9693, 607.8963
486.4514, 605.6927
486.9335, 605.7657
487.4156, 605.0795
487.8978, 603.0270
488.3799, 600.5508
488.8620, 599.1243
489.3441, 599.1047
489.8262, 599.3220
490.3083, 599.7958
490.7905, 600.3257
491.2726, 599.1022
491.7547, 595.7793
492.2368, 592.3752
492.7189, 590.5865
493.2010, 590.1611
493.6832, 589.5194
494.1653, 588.4502
494.6474, 587.3636
495.1295, 586.7286
495.6116, 586.4841
496.0938, 586.4508
496.5759, 586.7367
497.0580, 587.0447
497.5401, 587.1885
498.0222, 587.1224
498.5044, 586.6095
498.9865, 585.1415
499.4686, 583.4055
499.9507, 581.7795
500.4328, 580.1245
500.9149, 579.3707
501.3971, 581.1205
501.8792, 583.4467
502.3613, 584.1250
502.8434, 579.9307
503.3255, 577.3305
503.8076, 578.5820
504.2898, 582.5976
504.7719, 584.2927
505.2540, 582.6026
505.7361, 580.1276
506.2182, 577.6094
506.7003, 574.8275
507.1825, 573.8076
507.6646, 575.1661
508.1467, 576.9725
508.6288, 576.7952
509.1109, 574.6498
509.5930, 573.2264
510.0752, 573.1691
510.5573, 573.9700
511.0394, 575.1037
511.5215, 576.4297
512.0037, 577.0300
512.4858, 575.8719
512.9679, 573.9146
513.4500, 572.4590
513.9321, 571.5485
514.4142, 570.8705
514.8964, 570.2823
515.3785, 569.7695
515.8606, 569.3295
516.3427, 568.9875
516.8248, 568.6489
517.3069, 568.0463
517.7891, 567.4451
518.2712, 567.3404
518.7533, 568.7034
519.2354, 569.7025
519.7175, 569.6824
520.1996, 568.6701
520.6818, 567.7397
521.1639, 566.9694
521.6460, 566.1843
522.1281, 565.0671
522.6102, 563.1227
523.0923, 563.0034
523.5745, 565.4617
524.0566, 568.6084
524.5387, 569.4395
525.0208, 567.9630
525.5029, 566.8309
525.9850, 566.8320
526.4672, 567.6373
526.9493, 568.8366
527.4314, 570.3580
527.9135, 571.4880
528.3956, 571.6729
528.8777, 571.2748
529.3599, 570.4894
529.8420, 569.2587
530.3241, 568.7462
530.8062, 571.1906
531.2883, 574.1881
531.7704, 574.9133
532.2526, 570.1410
532.7347, 566.2853
533.2168, 565.9913
533.6989, 568.0075
534.1810, 569.3869
534.6631, 568.2531
535.1453, 567.9630
535.6274, 569.8420
536.1095, 574.0072
536.5916, 576.7754
537.0737, 577.7081
537.5558, 577.9667
538.0380, 578.1973
538.5201, 578.3414
539.0022, 578.8311
539.4843, 579.6395
539.9664, 580.8849
540.4485, 583.2184
540.9307, 586.4094
541.4128, 588.4953
541.8949, 588.0211
542.3770, 586.8385
