##NAMES=Arseniosiderite
##RRUFFID=R150061
##IDEAL CHEMISTRY=Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_&#183;3H_2_O
##LOCALITY=Las Animas mine, La Mur, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark red platy crystals, associated with bright red granular or prismatic sewardite (R060720)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150061
532.2861, 940.9172
532.7682, 930.8751
533.2503, 917.0204
533.7324, 907.5405
534.2145, 907.6998
534.6967, 908.5477
535.1788, 907.4290
535.6609, 904.4586
536.1430, 898.8321
536.6251, 889.6752
537.1072, 879.1464
537.5894, 868.3283
538.0715, 856.3093
538.5536, 850.4219
539.0357, 854.1132
539.5178, 861.5048
539.9999, 858.6552
540.4821, 846.0969
540.9642, 834.7538
541.4463, 830.4672
541.9284, 830.9368
542.4105, 832.5897
542.8926, 835.2882
543.3748, 836.0969
543.8569, 831.5553
544.3390, 824.2421
544.8211, 817.0108
545.3032, 809.9023
545.7853, 804.0987
546.2675, 801.5633
546.7495, 800.4993
547.2316, 797.8276
547.7137, 789.6997
548.1959, 783.0024
548.6780, 780.9846
549.1601, 783.5662
549.6422, 782.2734
550.1243, 772.5474
550.6064, 764.3917
551.0886, 764.7252
551.5707, 777.7995
552.0528, 782.8853
552.5349, 778.2053
553.0170, 768.4098
553.4991, 758.2722
553.9813, 747.8652
554.4634, 740.7397
554.9455, 738.1826
555.4276, 739.2209
555.9097, 743.3853
556.3918, 750.0532
556.8740, 755.7036
557.3561, 758.5787
557.8382, 759.0607
558.3203, 757.1691
558.8024, 752.7906
559.2845, 747.6765
559.7667, 740.0982
560.2488, 733.5350
560.7309, 731.3149
561.2130, 738.0140
561.6951, 744.5059
562.1772, 750.0550
562.6594, 754.2067
563.1415, 756.0151
563.6236, 755.9567
564.1057, 752.6470
564.5878, 743.8996
565.0699, 730.0651
565.5521, 722.1221
566.0342, 720.5771
566.5163, 723.5546
566.9984, 733.1357
567.4805, 748.3489
567.9626, 752.9750
568.4448, 743.6967
568.9269, 730.6273
569.4090, 726.4848
569.8911, 729.0797
570.3732, 731.9583
570.8553, 732.9858
571.3375, 732.9396
571.8196, 731.4531
572.3017, 729.1932
572.7838, 728.8047
573.2659, 735.0106
573.7480, 740.7530
574.2302, 741.0162
574.7123, 733.7878
