##NAMES=Collinsite
##RRUFFID=R140626
##IDEAL CHEMISTRY=Ca_2_Mg(PO_4_)_2_&#183;2H_2_O
##LOCALITY=Near Milgun Station, Meekatharra Shire, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless bladed to prismatic crystals with pointy ends. Associated with gordonite (R130671), montgomeryite (R140625), and hydroxylapatite (R140987).
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R140626
##MEASURED CHEMISTRY=Ca_2.01_Mg_1.06_(P_1.00_O_4_)_2_·2H_2_O ; trace Mn, Fe
4.107209e+002, 8.634157e+002
4.112031e+002, 8.666519e+002
4.116852e+002, 8.687393e+002
4.121673e+002, 8.708531e+002
4.126494e+002, 8.741932e+002
4.131315e+002, 8.790321e+002
4.136136e+002, 8.846739e+002
4.140958e+002, 8.901394e+002
4.145779e+002, 8.952219e+002
4.150600e+002, 9.010762e+002
4.155421e+002, 9.082418e+002
4.160242e+002, 9.156804e+002
4.165063e+002, 9.229734e+002
4.169885e+002, 9.302479e+002
4.174706e+002, 9.377740e+002
4.179527e+002, 9.458505e+002
4.184348e+002, 9.542617e+002
4.189169e+002, 9.624652e+002
4.193990e+002, 9.705735e+002
4.198812e+002, 9.781107e+002
4.203633e+002, 9.851754e+002
4.208454e+002, 9.914783e+002
4.213275e+002, 9.967798e+002
4.218096e+002, 1.001031e+003
4.222917e+002, 1.003953e+003
4.227739e+002, 1.005040e+003
4.232560e+002, 1.004337e+003
4.237381e+002, 1.002761e+003
4.242202e+002, 9.995740e+002
4.247023e+002, 9.967497e+002
4.251844e+002, 9.958307e+002
4.256666e+002, 9.964794e+002
4.261487e+002, 9.975209e+002
4.266308e+002, 9.981588e+002
4.271129e+002, 9.990462e+002
4.275950e+002, 1.000968e+003
4.280771e+002, 1.003919e+003
4.285593e+002, 1.008320e+003
4.290414e+002, 1.014762e+003
4.295235e+002, 1.022720e+003
4.300056e+002, 1.030776e+003
4.304877e+002, 1.039090e+003
4.309698e+002, 1.047164e+003
4.314520e+002, 1.055215e+003
4.319341e+002, 1.062756e+003
