##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
491.3638, 24.83479
491.8459, 25.08270
492.3280, 25.08531
492.8102, 24.87944
493.2923, 24.69440
493.7744, 24.68644
494.2565, 24.78861
494.7386, 24.85089
495.2207, 24.86651
495.7029, 24.88747
496.1850, 24.96602
496.6671, 25.04439
497.1492, 25.01314
497.6313, 24.82703
498.1134, 24.70850
498.5956, 24.82236
499.0777, 25.04891
499.5598, 25.19153
500.0419, 25.22099
500.5240, 25.23649
501.0061, 25.33718
501.4883, 25.50634
501.9704, 25.53201
502.4525, 25.21599
502.9346, 25.00595
503.4167, 25.12914
503.8988, 25.40469
504.3810, 25.58298
504.8631, 25.59183
505.3452, 25.53552
505.8273, 25.54928
506.3094, 25.64414
506.7915, 25.75132
507.2737, 25.94502
507.7558, 26.07269
508.2379, 26.02269
508.7200, 25.88742
509.2021, 25.82379
509.6842, 25.90546
510.1664, 26.04755
510.6485, 26.10410
511.1306, 26.06220
511.6127, 26.02136
512.0948, 25.98114
512.5769, 25.96274
513.0590, 26.01571
513.5411, 26.10847
514.0233, 26.12620
514.5054, 25.90074
514.9875, 25.65645
515.4696, 25.79611
515.9517, 26.29235
516.4338, 26.60138
516.9160, 26.42932
517.3981, 26.05427
517.8802, 25.98186
518.3623, 26.26923
518.8444, 26.44031
519.3265, 26.28774
519.8087, 26.04680
520.2908, 25.91155
520.7729, 25.89396
521.2550, 25.93932
521.7371, 26.01591
522.2192, 26.12236
522.7014, 26.25418
523.1835, 26.49273
523.6656, 26.64526
524.1477, 26.66074
524.6298, 26.62082
525.1119, 26.60941
525.5941, 26.61807
526.0762, 26.54840
526.5583, 26.27537
527.0404, 25.85451
527.5225, 25.68355
528.0046, 25.89092
528.4868, 26.09873
528.9689, 26.20889
529.4510, 26.25788
529.9331, 26.25936
530.4152, 26.21699
530.8973, 26.18192
531.3795, 26.22270
531.8616, 26.30099
532.3437, 26.29102
532.8258, 26.16873
533.3079, 26.03050
533.7900, 25.91169
534.2722, 25.83130
534.7543, 25.83828
535.2364, 26.00865
535.7185, 26.13714
536.2006, 26.06918
536.6827, 25.93468
537.1649, 25.95857
537.6470, 26.17408
538.1291, 26.38406
538.6112, 26.38805
539.0933, 26.18256
539.5754, 26.07257
540.0576, 26.18767
540.5397, 26.23819
541.0218, 26.09604
541.5039, 25.88997
541.9860, 25.75718
542.4681, 25.73821
542.9503, 25.80326
543.4324, 25.95219
543.9145, 26.19253
544.3966, 26.31321
544.8787, 26.23289
545.3608, 26.15442
545.8430, 26.18657
546.3251, 26.26377
546.8072, 26.30118
547.2893, 26.27757
547.7714, 26.20750
548.2535, 26.06392
548.7357, 25.88036
549.2178, 25.77670
549.6999, 25.78350
