##NAMES=Chrysoberyl
##RRUFFID=X080002
##IDEAL CHEMISTRY=BeAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted purple alexandrite gemstone, 7.35 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080002
499.7257, 424.1126
500.2078, 424.9635
500.6899, 427.3006
501.1720, 429.2675
501.6541, 430.0280
502.1363, 430.5387
502.6184, 432.2222
503.1005, 435.2863
503.5826, 438.1913
504.0647, 438.9111
504.5468, 437.2433
505.0290, 435.4203
505.5111, 433.1592
505.9932, 431.0990
506.4753, 429.3454
506.9575, 427.9823
507.4396, 427.1496
507.9217, 426.9295
508.4038, 427.1505
508.8859, 427.6083
509.3680, 428.3098
509.8502, 429.4565
510.3323, 431.4084
510.8144, 433.3109
511.2965, 433.8633
511.7786, 433.4031
512.2607, 433.9872
512.7429, 436.8800
513.2250, 440.4121
513.7071, 442.6095
514.1892, 444.0291
514.6713, 447.1263
515.1534, 453.0509
515.6356, 461.1138
516.1177, 469.9748
516.5998, 479.6515
517.0819, 490.4597
517.5640, 503.3904
518.0461, 516.6590
518.5283, 531.2833
519.0104, 545.4509
519.4925, 554.7186
519.9746, 556.2928
520.4567, 550.4791
520.9388, 537.5760
521.4210, 511.9022
521.9031, 489.7261
522.3852, 472.7257
522.8673, 459.4771
523.3494, 449.7377
523.8315, 443.0582
524.3137, 438.1930
524.7958, 434.8002
525.2779, 432.4435
525.7600, 429.5840
526.2421, 426.0391
526.7242, 422.6968
527.2064, 420.0733
527.6885, 417.8156
528.1706, 415.4013
528.6527, 412.7271
529.1348, 410.3309
529.6169, 408.4751
530.0991, 407.0715
530.5812, 406.0055
531.0633, 405.2615
531.5454, 404.7653
532.0275, 404.4961
532.5096, 404.4297
532.9918, 404.4049
533.4739, 404.8421
533.9560, 404.7862
534.4381, 403.3170
534.9202, 401.6424
535.4023, 401.2671
535.8845, 402.3506
536.3666, 403.7604
536.8487, 404.3799
537.3308, 404.2127
537.8129, 403.8313
538.2950, 402.6930
538.7772, 402.0761
539.2593, 402.6292
539.7414, 403.6321
540.2235, 404.2685
540.7056, 404.3368
541.1877, 404.3818
541.6699, 404.9056
542.1520, 405.8790
542.6341, 407.0787
543.1162, 408.3869
543.5983, 410.1746
544.0804, 412.9730
544.5626, 416.3585
545.0447, 419.5290
545.5268, 422.1296
546.0089, 424.9741
546.4910, 428.9514
546.9731, 433.4312
547.4553, 437.3518
547.9374, 440.5188
548.4195, 442.6818
548.9016, 443.6940
549.3837, 443.5697
549.8658, 441.6042
550.3480, 436.9201
550.8301, 431.7890
551.3122, 426.4595
551.7943, 421.2065
552.2764, 416.1563
552.7585, 411.4186
553.2407, 407.3275
553.7228, 404.4096
554.2049, 402.7206
554.6870, 401.1701
555.1691, 399.6091
555.6512, 398.4272
556.1334, 397.9507
556.6155, 397.8145
557.0976, 397.5561
557.5797, 397.0486
558.0618, 396.4479
558.5439, 395.7167
559.0261, 394.9865
559.5082, 394.7604
559.9903, 395.1414
560.4724, 395.8753
560.9545, 396.8245
561.4366, 397.9886
561.9188, 399.2821
562.4009, 400.3413
562.8830, 401.9797
563.3651, 404.7184
563.8472, 408.1356
564.3293, 412.0607
564.8115, 416.2940
565.2936, 419.8086
565.7757, 421.5458
566.2578, 421.5077
566.7399, 420.9027
567.2220, 420.0676
567.7042, 418.1635
568.1863, 414.6291
568.6684, 410.2067
569.1505, 405.3478
569.6326, 400.2924
570.1147, 395.6372
570.5969, 392.0088
571.0790, 389.3213
571.5611, 387.1877
572.0432, 385.7675
572.5253, 384.4073
573.0074, 382.6283
573.4896, 380.7812
573.9717, 379.3455
574.4538, 378.3724
574.9359, 377.7940
575.4180, 378.0027
575.9001, 378.3947
