##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
601.6897, 106.7377
602.1718, 101.4618
602.6539, 83.29810
603.1360, 74.08813
603.6182, 84.37038
604.1003, 97.01448
604.5824, 97.41904
605.0645, 87.44915
605.5466, 80.34678
606.0287, 86.04489
606.5109, 95.51162
606.9930, 93.64997
607.4751, 82.03580
607.9572, 73.28733
608.4393, 70.63882
608.9214, 71.00997
609.4036, 71.45807
609.8857, 71.99191
610.3678, 74.10682
610.8499, 81.32173
611.3320, 85.51781
611.8141, 80.93291
612.2963, 74.87526
612.7784, 76.74679
613.2605, 86.00138
613.7426, 92.34492
614.2247, 86.16506
614.7068, 73.09285
615.1890, 67.21999
615.6711, 68.82111
616.1532, 71.44456
616.6353, 73.13009
617.1174, 75.45190
617.5995, 81.62926
618.0817, 91.76896
618.5638, 95.95764
619.0459, 90.16401
619.5280, 82.59130
620.0101, 72.47746
620.4922, 64.30769
620.9744, 65.02239
621.4565, 74.87957
621.9386, 86.48303
622.4207, 94.22988
622.9028, 97.96905
623.3849, 95.82005
623.8671, 86.56411
624.3492, 78.25242
624.8313, 71.99077
625.3134, 69.19196
625.7955, 72.95497
626.2776, 82.84972
626.7598, 92.15707
627.2419, 101.6978
627.7240, 108.5439
628.2061, 110.9544
628.6882, 109.7634
629.1703, 105.1124
629.6525, 97.63678
630.1346, 90.14149
630.6167, 84.76394
631.0988, 81.84542
631.5809, 84.04790
632.0630, 92.95882
632.5452, 100.9937
633.0273, 107.0964
633.5094, 110.1361
633.9915, 107.1564
634.4736, 98.60279
634.9557, 93.76791
635.4379, 99.96119
635.9200, 104.6041
636.4021, 96.37339
636.8842, 83.53988
637.3663, 80.92944
637.8484, 91.05295
638.3306, 102.4235
638.8127, 103.5083
639.2948, 95.89055
639.7769, 88.39223
640.2590, 79.85798
640.7411, 75.68230
641.2233, 79.87177
641.7054, 86.77291
642.1875, 90.89656
642.6696, 92.39942
643.1517, 92.84976
643.6339, 93.77382
644.1160, 92.44090
644.5981, 83.44830
645.0802, 72.76637
645.5623, 70.97578
646.0444, 79.37340
646.5266, 88.94585
647.0087, 91.27669
647.4908, 87.79857
647.9729, 85.31464
648.4550, 84.40148
648.9371, 81.90088
649.4193, 74.17668
649.9014, 67.71429
650.3835, 70.38673
650.8656, 80.71985
651.3477, 88.38348
651.8298, 91.95504
652.3120, 92.19228
652.7941, 87.11470
653.2762, 80.06387
653.7583, 75.70196
654.2404, 74.52904
654.7225, 73.54036
655.2047, 69.99792
655.6868, 65.21113
656.1689, 63.73367
656.6510, 65.98665
657.1331, 69.35707
657.6152, 75.18296
658.0974, 79.26201
658.5795, 75.85358
659.0616, 66.88408
659.5437, 61.03415
