##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=CaMn^2+^_3_Mn^2+^Si_5_O_15_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
609.2497, 769.8895
609.7318, 771.3199
610.2139, 775.1599
610.6960, 778.7781
611.1782, 780.5184
611.6603, 781.3784
612.1424, 782.4380
612.6245, 784.3784
613.1066, 785.9802
613.5887, 786.6991
614.0709, 787.0624
614.5530, 788.2407
615.0351, 790.7483
615.5172, 792.8810
615.9993, 793.8804
616.4814, 794.1463
616.9636, 796.3157
617.4457, 800.6058
617.9278, 804.3118
618.4099, 805.0396
618.8920, 803.9027
619.3741, 804.0739
619.8563, 805.6844
620.3384, 807.4816
620.8205, 808.2584
621.3026, 808.7044
621.7847, 809.6035
622.2668, 811.0821
622.7490, 813.1533
623.2311, 816.7797
623.7132, 820.6771
624.1953, 823.2044
624.6774, 822.2399
625.1595, 822.1644
625.6417, 823.8889
626.1238, 826.7905
626.6059, 829.0665
627.0880, 830.5394
627.5701, 831.9638
628.0522, 833.4941
628.5344, 835.2034
629.0165, 837.7068
629.4986, 841.0318
629.9807, 844.0262
630.4628, 845.5859
630.9449, 846.3164
631.4271, 847.1541
631.9092, 848.1414
632.3913, 849.8639
632.8734, 853.5060
633.3555, 857.7133
633.8376, 861.1136
634.3198, 863.0153
634.8019, 864.7627
635.2840, 866.3536
635.7661, 868.0930
636.2482, 870.4702
636.7303, 874.0964
637.2125, 877.3029
637.6946, 879.6490
638.1767, 881.5310
638.6588, 884.2505
639.1409, 888.0137
639.6230, 891.3716
640.1052, 893.5735
640.5873, 895.0673
641.0694, 896.9260
641.5515, 899.2015
642.0336, 902.1742
642.5157, 906.5052
642.9979, 911.4196
643.4800, 915.8294
643.9621, 919.6547
644.4442, 923.8669
644.9263, 929.1619
645.4084, 934.9820
645.8906, 940.8414
646.3727, 946.5851
646.8548, 952.4613
647.3369, 957.9371
647.8190, 963.8693
648.3011, 971.3604
648.7833, 981.0721
