##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
3.937436e+002, 1.538902e+002
3.942257e+002, 1.534837e+002
3.947078e+002, 1.528839e+002
3.951899e+002, 1.523785e+002
3.956720e+002, 1.521309e+002
3.961541e+002, 1.520290e+002
3.966363e+002, 1.518933e+002
3.971184e+002, 1.516909e+002
3.976005e+002, 1.514360e+002
3.980826e+002, 1.511589e+002
3.985647e+002, 1.508759e+002
3.990468e+002, 1.504345e+002
3.995290e+002, 1.495840e+002
4.000111e+002, 1.487015e+002
4.004932e+002, 1.480923e+002
4.009753e+002, 1.480396e+002
4.014574e+002, 1.478821e+002
4.019395e+002, 1.475421e+002
4.024217e+002, 1.470509e+002
4.029038e+002, 1.465478e+002
4.033859e+002, 1.459894e+002
4.038680e+002, 1.454843e+002
4.043501e+002, 1.451337e+002
4.048322e+002, 1.450708e+002
4.053144e+002, 1.446690e+002
4.057965e+002, 1.438013e+002
4.062786e+002, 1.427515e+002
4.067607e+002, 1.419769e+002
4.072428e+002, 1.415103e+002
4.077249e+002, 1.411432e+002
4.082071e+002, 1.408658e+002
4.086892e+002, 1.406427e+002
4.091713e+002, 1.402031e+002
4.096534e+002, 1.395049e+002
4.101355e+002, 1.388216e+002
4.106176e+002, 1.384654e+002
4.110998e+002, 1.383712e+002
4.115819e+002, 1.381749e+002
4.120640e+002, 1.378009e+002
4.125461e+002, 1.372999e+002
4.130282e+002, 1.366679e+002
4.135103e+002, 1.359398e+002
4.139925e+002, 1.353083e+002
4.144746e+002, 1.348834e+002
4.149567e+002, 1.346199e+002
4.154388e+002, 1.345239e+002
4.159209e+002, 1.346239e+002
4.164030e+002, 1.346244e+002
4.168852e+002, 1.341547e+002
4.173673e+002, 1.334405e+002
4.178494e+002, 1.328489e+002
4.183315e+002, 1.327326e+002
4.188136e+002, 1.326083e+002
4.192957e+002, 1.320521e+002
4.197779e+002, 1.311490e+002
4.202600e+002, 1.304224e+002
4.207421e+002, 1.302067e+002
4.212242e+002, 1.302072e+002
4.217063e+002, 1.302292e+002
4.221884e+002, 1.302692e+002
4.226706e+002, 1.302690e+002
4.231527e+002, 1.302572e+002
4.236348e+002, 1.301915e+002
4.241169e+002, 1.299938e+002
4.245990e+002, 1.293796e+002
4.250811e+002, 1.288887e+002
4.255633e+002, 1.287203e+002
4.260454e+002, 1.289223e+002
4.265275e+002, 1.290976e+002
4.270096e+002, 1.293153e+002
4.274917e+002, 1.294484e+002
4.279738e+002, 1.293750e+002
4.284560e+002, 1.289714e+002
4.289381e+002, 1.286171e+002
4.294202e+002, 1.283707e+002
4.299023e+002, 1.282010e+002
4.303844e+002, 1.279842e+002
4.308665e+002, 1.277038e+002
4.313487e+002, 1.274272e+002
4.318308e+002, 1.271928e+002
4.323129e+002, 1.270048e+002
4.327950e+002, 1.267597e+002
4.332771e+002, 1.263933e+002
4.337592e+002, 1.261486e+002
4.342414e+002, 1.265716e+002
4.347235e+002, 1.275765e+002
4.352056e+002, 1.280807e+002
4.356877e+002, 1.275220e+002
4.361698e+002, 1.264068e+002
4.366519e+002, 1.257946e+002
4.371341e+002, 1.256680e+002
4.376162e+002, 1.256647e+002
4.380983e+002, 1.255525e+002
4.385804e+002, 1.253729e+002
4.390625e+002, 1.251995e+002
4.395446e+002, 1.250509e+002
4.400268e+002, 1.248893e+002
