##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=W^6+^O_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
3.464961e+002, 5.835417e+002
3.469782e+002, 5.885946e+002
3.474604e+002, 5.934478e+002
3.479425e+002, 5.975460e+002
3.484246e+002, 6.013956e+002
3.489067e+002, 6.070834e+002
3.493888e+002, 6.150281e+002
3.498709e+002, 6.232800e+002
3.503531e+002, 6.291896e+002
3.508352e+002, 6.333074e+002
3.513173e+002, 6.376564e+002
3.517994e+002, 6.438249e+002
3.522815e+002, 6.505633e+002
3.527636e+002, 6.557720e+002
3.532458e+002, 6.594437e+002
3.537279e+002, 6.624335e+002
3.542100e+002, 6.653361e+002
3.546921e+002, 6.680584e+002
3.551742e+002, 6.704611e+002
3.556563e+002, 6.727291e+002
3.561385e+002, 6.744384e+002
3.566206e+002, 6.751396e+002
3.571027e+002, 6.749037e+002
3.575848e+002, 6.740958e+002
3.580669e+002, 6.725886e+002
3.585490e+002, 6.707883e+002
3.590312e+002, 6.690279e+002
3.595133e+002, 6.672293e+002
3.599954e+002, 6.657863e+002
3.604775e+002, 6.653729e+002
3.609596e+002, 6.654850e+002
3.614417e+002, 6.650566e+002
3.619239e+002, 6.635139e+002
3.624060e+002, 6.614363e+002
3.628881e+002, 6.590032e+002
3.633702e+002, 6.561339e+002
3.638523e+002, 6.534781e+002
3.643344e+002, 6.508572e+002
3.648166e+002, 6.486962e+002
3.652987e+002, 6.474716e+002
3.657808e+002, 6.482023e+002
3.662629e+002, 6.490078e+002
3.667450e+002, 6.493632e+002
3.672271e+002, 6.492568e+002
3.677093e+002, 6.492523e+002
3.681914e+002, 6.493889e+002
3.686735e+002, 6.496533e+002
3.691556e+002, 6.500407e+002
3.696377e+002, 6.507112e+002
3.701198e+002, 6.512678e+002
3.706020e+002, 6.514270e+002
3.710841e+002, 6.514135e+002
3.715662e+002, 6.521257e+002
3.720483e+002, 6.543749e+002
3.725304e+002, 6.563383e+002
3.730125e+002, 6.571931e+002
3.734947e+002, 6.564846e+002
3.739768e+002, 6.558995e+002
3.744589e+002, 6.553298e+002
3.749410e+002, 6.549623e+002
3.754231e+002, 6.554327e+002
3.759052e+002, 6.575632e+002
3.763874e+002, 6.582438e+002
3.768695e+002, 6.562488e+002
3.773516e+002, 6.516248e+002
3.778337e+002, 6.474206e+002
3.783158e+002, 6.438287e+002
3.787979e+002, 6.400237e+002
3.792801e+002, 6.352858e+002
3.797622e+002, 6.295664e+002
3.802443e+002, 6.231400e+002
3.807264e+002, 6.157712e+002
3.812085e+002, 6.078798e+002
3.816906e+002, 6.006593e+002
3.821728e+002, 5.941513e+002
3.826549e+002, 5.873635e+002
3.831370e+002, 5.794851e+002
3.836191e+002, 5.707309e+002
3.841012e+002, 5.623008e+002
3.845833e+002, 5.542513e+002
3.850655e+002, 5.463822e+002
3.855476e+002, 5.383439e+002
3.860297e+002, 5.301995e+002
3.865118e+002, 5.226347e+002
3.869939e+002, 5.162571e+002
3.874760e+002, 5.104611e+002
3.879582e+002, 5.044073e+002
3.884403e+002, 4.980290e+002
3.889224e+002, 4.914573e+002
3.894045e+002, 4.843648e+002
3.898866e+002, 4.773320e+002
3.903687e+002, 4.711604e+002
3.908509e+002, 4.666535e+002
3.913330e+002, 4.626222e+002
3.918151e+002, 4.579707e+002
3.922972e+002, 4.529790e+002
3.927793e+002, 4.486890e+002
3.932614e+002, 4.462035e+002
3.937436e+002, 4.442577e+002
3.942257e+002, 4.418256e+002
3.947078e+002, 4.384284e+002
3.951899e+002, 4.353188e+002
3.956720e+002, 4.332460e+002
3.961541e+002, 4.316809e+002
3.966363e+002, 4.297759e+002
3.971184e+002, 4.267950e+002
3.976005e+002, 4.239294e+002
3.980826e+002, 4.217079e+002
3.985647e+002, 4.202657e+002
3.990468e+002, 4.184974e+002
3.995290e+002, 4.156674e+002
4.000111e+002, 4.128250e+002
4.004932e+002, 4.108378e+002
4.009753e+002, 4.110974e+002
4.014574e+002, 4.103180e+002
4.019395e+002, 4.077267e+002
4.024217e+002, 4.037791e+002
4.029038e+002, 4.007065e+002
4.033859e+002, 3.990066e+002
4.038680e+002, 3.974540e+002
4.043501e+002, 3.953010e+002
4.048322e+002, 3.920872e+002
4.053144e+002, 3.901053e+002
4.057965e+002, 3.899047e+002
4.062786e+002, 3.903080e+002
4.067607e+002, 3.891552e+002
4.072428e+002, 3.860367e+002
4.077249e+002, 3.836378e+002
4.082071e+002, 3.832653e+002
4.086892e+002, 3.844670e+002
4.091713e+002, 3.842968e+002
4.096534e+002, 3.826098e+002
4.101355e+002, 3.803491e+002
4.106176e+002, 3.778072e+002
4.110998e+002, 3.752113e+002
4.115819e+002, 3.742281e+002
4.120640e+002, 3.757331e+002
4.125461e+002, 3.780540e+002
4.130282e+002, 3.782845e+002
4.135103e+002, 3.767328e+002
4.139925e+002, 3.752439e+002
4.144746e+002, 3.752016e+002
4.149567e+002, 3.757935e+002
4.154388e+002, 3.757981e+002
4.159209e+002, 3.751053e+002
4.164030e+002, 3.739654e+002
4.168852e+002, 3.720808e+002
4.173673e+002, 3.699683e+002
4.178494e+002, 3.684600e+002
4.183315e+002, 3.686234e+002
4.188136e+002, 3.688701e+002
4.192957e+002, 3.680173e+002
4.197779e+002, 3.662390e+002
4.202600e+002, 3.646342e+002
4.207421e+002, 3.637113e+002
