##NAMES=Salammoniac
##RRUFFID=R061022
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Schoeller mine, Kladno, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=A crust of colorless tabular crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R061022
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
547.4399, 17.46753
547.9221, 18.73138
548.4042, 19.37360
548.8863, 17.78595
549.3684, 15.53445
549.8505, 14.24060
550.3326, 14.19482
550.8148, 14.40488
551.2969, 14.45432
551.7790, 14.31009
552.2611, 13.83624
552.7432, 13.01788
553.2253, 12.19141
553.7075, 11.60626
554.1896, 11.19974
554.6717, 10.66812
555.1538, 9.572937
555.6359, 8.947693
556.1180, 9.557404
556.6002, 10.39191
557.0823, 10.29031
557.5644, 9.213165
558.0465, 8.047577
558.5286, 7.585785
559.0107, 7.741821
559.4929, 7.721649
559.9750, 7.586823
560.4571, 7.161530
560.9392, 6.106354
561.4213, 4.989136
561.9034, 4.284546
562.3856, 4.064026
562.8677, 4.062622
563.3498, 4.145447
563.8319, 4.285919
564.3140, 4.420654
564.7961, 4.563141
565.2783, 4.585144
565.7604, 4.388245
566.2425, 4.043396
566.7246, 3.715393
567.2067, 3.451324
567.6888, 3.034668
568.1710, 2.138367
568.6531, 1.204865
569.1352, 0.7769470
569.6173, 0.8491210
570.0994, 1.076202
570.5815, 1.253906
571.0637, 1.356262
571.5458, 1.265381
572.0279, 0.7466740
572.5100, 0.3753050
572.9921, 0.1098630
573.4742, 4.5531999E-02
573.9564, 0.4647220
574.4385, 1.194336
574.9206, 1.625305
575.4027, 1.239410
575.8848, 0.3460390
576.3669, 0.1808780
576.8491, 0.2850340
577.3312, 0.3091130
577.8133, 0.2285770
578.2954, 0.2235110
578.7775, 0.6106260
579.2596, 1.351532
579.7418, 1.721497
580.2239, 1.051636
580.7060, 0.1720890
581.1881, 2.9327000E-02
581.6702, 0.3583980
582.1523, 0.8160710
582.6345, 1.121674
583.1166, 1.352234
583.5988, 1.643616
584.0809, 2.051910
584.5630, 2.360168
585.0451, 2.652222
585.5272, 2.774506
586.0093, 2.585571
586.4915, 2.177521
586.9736, 1.672913
587.4557, 1.120178
587.9378, 0.6701660
588.4199, 0.6408390
588.9020, 1.090851
589.3842, 1.474396
589.8663, 1.845032
590.3484, 1.990936
590.8305, 1.601074
591.3126, 0.9337770
591.7947, 0.5645750
592.2769, 0.7493290
592.7590, 1.085480
593.2411, 1.403381
593.7232, 1.619568
594.2053, 1.477844
594.6874, 0.9107670
595.1696, 0.1582950
595.6517, 0.6389770
596.1338, 1.474182
596.6159, 1.794495
597.0980, 1.160400
597.5801, 0.6398930
598.0623, 0.5232540
598.5444, 0.6019900
599.0265, 0.7357480
599.5086, 0.8455200
599.9907, 0.7525940
600.4728, 0.1565860
600.9550, 0.8080750
601.4371, 1.085480
601.9192, 0.3964540
602.4013, 0.3007510
602.8834, 0.7097170
603.3655, 0.9476320
603.8477, 1.094299
604.3298, 1.157410
604.8119, 1.167145
605.2940, 1.090942
605.7761, 1.000000
606.2582, 0.9138490
606.7404, 0.8692630
607.2225, 1.080170
607.7046, 1.662720
608.1867, 2.534119
608.6688, 3.588959
609.1509, 5.210541
609.6331, 6.058746
610.1152, 5.799377
610.5973, 5.132477
611.0794, 4.112854
611.5615, 3.014984
612.0436, 2.300110
612.5258, 2.180908
613.0079, 2.385986
613.4900, 2.542450
613.9721, 2.652863
614.4542, 2.613983
614.9363, 2.222473
615.4185, 1.997864
615.9006, 2.522583
616.3827, 3.408813
616.8648, 3.882050
617.3469, 3.638489
617.8290, 3.293823
618.3112, 3.089447
618.7933, 3.062347
619.2754, 3.410065
619.7575, 4.122101
620.2396, 4.675629
620.7217, 4.594086
621.2039, 4.017120
621.6860, 3.869629
622.1681, 4.378021
622.6502, 5.033844
623.1323, 6.174347
623.6144, 7.159821
624.0966, 7.422150
624.5787, 7.039673
625.0608, 6.519989
625.5429, 6.139252
626.0250, 5.889801
626.5071, 5.707581
626.9893, 5.582062
627.4714, 5.831421
627.9535, 6.785431
628.4356, 7.785675
628.9177, 7.882050
629.3998, 7.231323
629.8820, 7.101837
630.3641, 8.279236
630.8462, 9.403351
631.3283, 9.633148
631.8104, 9.322510
632.2925, 9.113831
632.7747, 9.180054
633.2568, 9.238617
633.7389, 8.935974
634.2210, 8.259186
634.7031, 7.868195
635.1852, 7.886841
635.6674, 8.038849
636.1495, 8.198090
636.6316, 8.449707
637.1137, 9.045349
637.5958, 9.976196
638.0779, 10.62277
638.5601, 10.25620
639.0422, 9.431274
639.5243, 9.164642
640.0064, 9.432404
640.4885, 9.657349
640.9706, 9.596649
641.4528, 9.380951
641.9349, 9.202667
642.4170, 9.068390
642.8991, 8.999329
643.3812, 9.112000
643.8633, 9.207367
644.3455, 9.112122
644.8276, 8.980438
645.3097, 9.079254
645.7918, 9.483337
646.2739, 9.975586
646.7560, 10.32257
647.2382, 10.53125
647.7203, 10.59198
648.2024, 10.53714
648.6845, 10.33954
649.1666, 9.871887
649.6487, 9.300995
650.1309, 8.776062
650.6130, 8.254303
651.0951, 8.054596
651.5772, 8.571930
652.0593, 9.306335
652.5414, 9.746674
653.0236, 9.937561
653.5057, 10.18698
653.9878, 10.63708
654.4699, 11.07205
654.9520, 11.06345
655.4341, 10.42688
655.9163, 9.939941
656.3984, 9.567505
656.8805, 9.407806
657.3626, 9.688934
657.8447, 10.12469
658.3268, 10.26974
658.8090, 9.954376
659.2911, 9.540955
659.7732, 9.269226
660.2553, 9.175598
660.7374, 9.379059
661.2195, 9.883331
661.7017, 10.46826
662.1838, 11.12079
662.6659, 11.63348
663.1480, 11.42847
663.6301, 9.873474
664.1122, 8.949615
664.5944, 9.176727
665.0765, 9.601746
