##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
687.5784, 47768.44
688.0605, 47780.83
688.5427, 47773.27
689.0248, 47759.13
689.5069, 47744.60
689.9890, 47729.36
690.4711, 47712.13
690.9532, 47692.53
691.4354, 47669.45
691.9175, 47628.90
692.3996, 47587.48
692.8817, 47578.18
693.3638, 47620.81
693.8459, 47654.59
694.3281, 47616.23
694.8102, 47558.27
695.2923, 47550.78
695.7744, 47684.88
696.2565, 47774.85
696.7386, 47773.21
697.2208, 47719.00
697.7029, 47722.73
698.1850, 47809.27
698.6671, 47863.02
699.1492, 47820.79
699.6313, 47721.00
700.1135, 47707.28
700.5956, 47775.27
701.0777, 47854.21
701.5598, 47892.68
702.0419, 47915.44
702.5240, 47960.60
703.0062, 48032.06
703.4883, 48080.79
703.9704, 48070.65
704.4525, 48035.47
704.9346, 48000.43
705.4167, 47965.79
705.8989, 47938.77
706.3810, 47920.11
706.8631, 47909.76
707.3452, 47905.46
707.8273, 47906.00
708.3094, 47928.07
708.7916, 47983.84
709.2737, 48048.15
709.7558, 48066.93
710.2379, 48051.38
710.7200, 48047.13
711.2021, 48107.04
711.6843, 48162.32
712.1664, 48135.11
712.6485, 48044.61
