##NAMES=Pararealgar
##RRUFFID=R150123
##IDEAL CHEMISTRY=AsS
##LOCALITY=U.S. Borax mine, Kramer Borate deposit, Boron, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott S106210
##DESCRIPTION=Yellowish-orange granular, within a rind of realgar
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150123
1893.494, 1544.097
1895.422, 1540.542
1897.351, 1538.342
1899.279, 1536.103
1901.208, 1532.518
1903.136, 1527.898
1905.064, 1521.975
1906.993, 1516.751
1908.921, 1511.848
1910.850, 1507.235
1912.778, 1500.449
1914.707, 1489.195
1916.635, 1482.724
1918.564, 1481.481
1920.492, 1481.593
1922.421, 1479.827
1924.349, 1470.779
1926.278, 1466.338
1928.206, 1468.756
1930.135, 1466.648
1932.063, 1460.595
1933.991, 1449.141
1935.920, 1441.448
1937.848, 1441.193
1939.777, 1437.983
1941.705, 1432.228
1943.634, 1428.421
1945.562, 1424.960
1947.491, 1420.840
1949.419, 1416.969
1951.348, 1412.919
1953.276, 1403.260
1955.205, 1393.882
1957.133, 1391.351
1959.062, 1391.082
1960.990, 1392.085
1962.918, 1384.449
1964.847, 1374.788
1966.775, 1375.605
1968.704, 1374.377
1970.632, 1366.157
1972.561, 1357.070
1974.489, 1348.856
1976.418, 1344.754
1978.346, 1343.990
1980.275, 1349.817
1982.203, 1344.218
1984.132, 1330.775
1986.060, 1330.693
1987.989, 1332.961
1989.917, 1332.293
1991.845, 1324.498
1993.774, 1311.330
1995.702, 1310.380
1997.631, 1309.666
1999.559, 1298.003
2001.488, 1293.202
2003.416, 1297.546
2005.345, 1288.075
2007.273, 1276.505
2009.202, 1275.755
2011.130, 1276.882
2013.059, 1277.722
2014.987, 1271.497
2016.916, 1263.800
2018.844, 1264.981
2020.772, 1260.524
2022.701, 1247.951
2024.629, 1240.462
2026.558, 1236.155
2028.486, 1232.888
2030.415, 1228.113
2032.343, 1221.260
2034.272, 1215.851
2036.200, 1212.264
2038.129, 1212.475
2040.057, 1210.844
2041.986, 1206.008
2043.914, 1198.219
2045.843, 1190.490
2047.771, 1189.300
2049.699, 1185.316
2051.628, 1175.121
2053.556, 1173.168
2055.485, 1174.204
2057.413, 1167.767
2059.342, 1164.735
2061.270, 1170.341
2063.199, 1162.436
2065.127, 1150.927
2067.056, 1152.080
2068.984, 1151.770
2070.913, 1145.795
2072.841, 1136.144
2074.770, 1127.115
2076.698, 1125.745
2078.626, 1122.118
2080.555, 1113.297
2082.483, 1109.659
2084.412, 1108.874
2086.340, 1109.197
2088.269, 1107.250
2090.197, 1102.401
2092.126, 1100.208
2094.054, 1096.733
2095.983, 1086.508
2097.911, 1081.442
2099.840, 1082.085
2101.768, 1075.640
2103.697, 1067.802
2105.625, 1062.947
2107.553, 1058.245
2109.482, 1053.588
2111.410, 1050.494
2113.339, 1046.901
2115.267, 1041.088
2117.196, 1038.489
2119.124, 1037.816
2121.053, 1034.103
2122.981, 1030.342
2124.910, 1027.776
2126.838, 1025.075
2128.767, 1022.255
2130.695, 1019.734
2132.624, 1016.902
2134.552, 1013.739
2136.480, 1007.361
2138.409, 1001.066
2140.337, 1001.027
2142.266, 995.0599
2144.194, 982.4193
2146.123, 980.8620
2148.051, 981.4943
2149.980, 977.7098
2151.908, 973.3561
2153.837, 968.9852
2155.765, 964.9744
2157.694, 962.1712
2159.622, 961.5910
2161.551, 958.2490
2163.479, 953.1388
2165.407, 946.7889
2167.336, 944.5668
2169.264, 947.8744
2171.193, 946.1169
2173.121, 942.7705
2175.050, 942.0009
2176.978, 937.7526
2178.907, 929.8680
2180.835, 921.2145
2182.764, 915.2367
2184.692, 913.7961
2186.621, 911.1213
2188.549, 907.8738
2190.478, 906.9095
2192.406, 904.6515
2194.334, 900.3773
2196.263, 897.4606
2198.191, 894.6696
2200.120, 891.8524
2202.048, 883.5500
2203.977, 872.3497
2205.905, 870.3441
2207.834, 868.4992
2209.762, 862.0077
2211.691, 858.7303
2213.619, 856.1246
2215.548, 848.6704
2217.476, 844.1461
2219.405, 843.2490
2221.333, 837.7729
2223.261, 832.1105
2225.190, 829.7326
2227.118, 826.8013
2229.047, 824.0257
2230.975, 824.6046
2232.904, 822.4800
2234.832, 815.5557
2236.761, 814.5999
2238.689, 814.7311
2240.618, 812.4403
2242.546, 806.1813
2244.475, 798.1681
2246.403, 794.8961
2248.332, 794.5213
2250.260, 796.4745
2252.188, 793.8963
2254.117, 789.2372
2256.045, 784.8827
2257.974, 780.0828
2259.902, 775.4008
2261.831, 773.4904
2263.759, 771.3006
2265.688, 767.8236
2267.616, 767.3771
2269.545, 766.1860
2271.473, 758.4968
2273.402, 754.8134
2275.330, 753.7907
2277.259, 746.9364
2279.187, 741.6090
2281.115, 739.9781
2283.044, 738.8740
2284.972, 736.3773
2286.901, 728.3953
2288.829, 726.7296
2290.758, 728.8917
2292.686, 726.3531
2294.615, 724.8077
2296.543, 725.8179
2298.472, 720.0397
2300.400, 712.9511
2302.329, 708.2463
2304.257, 707.0363
2306.186, 705.9608
2308.114, 697.2448
2310.042, 692.3828
2311.971, 692.9662
2313.899, 690.3872
2315.828, 688.2950
2317.756, 688.9379
2319.685, 683.3595
2321.613, 676.1570
2323.542, 673.3622
2325.470, 670.1443
2327.399, 666.0629
2329.327, 661.4008
2331.256, 658.5948
2333.184, 658.0135
2335.113, 652.9138
2337.041, 649.1896
2338.969, 651.5217
2340.898, 650.1244
2342.826, 646.5951
2344.755, 645.7090
2346.683, 641.0131
2348.612, 633.4801
2350.540, 631.7958
2352.469, 629.7209
2354.397, 625.1508
2356.326, 625.5067
