##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=Pb^2+^S^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
454.1553, 139.6089
454.6374, 140.4552
455.1195, 143.3277
455.6016, 149.4806
456.0837, 157.1437
456.5659, 165.0365
457.0480, 172.8898
457.5301, 180.6651
458.0122, 187.8730
458.4943, 194.5851
458.9764, 203.1160
459.4586, 213.7347
459.9407, 226.0133
460.4228, 238.8383
460.9049, 253.0268
461.3870, 270.1062
461.8691, 290.6234
462.3513, 314.1859
462.8334, 339.6595
463.3155, 367.1397
463.7976, 399.0395
464.2797, 435.7606
464.7618, 477.9409
465.2440, 525.5940
465.7261, 578.4835
466.2082, 637.6149
466.6903, 701.8173
467.1724, 773.4487
467.6545, 854.7132
468.1367, 945.6309
468.6188, 1047.694
469.1009, 1160.376
469.5830, 1284.724
470.0651, 1429.168
470.5472, 1601.356
471.0294, 1779.426
471.5115, 1987.079
471.9936, 2185.247
472.4757, 2339.655
472.9578, 2436.851
473.4399, 2452.659
473.9221, 2351.461
474.4042, 2115.384
474.8863, 1862.093
475.3684, 1553.236
475.8505, 1267.391
476.3326, 1029.849
476.8148, 836.7295
477.2969, 680.7562
477.7790, 559.7812
478.2611, 467.0833
478.7432, 391.8078
479.2253, 336.9882
479.7075, 292.1460
480.1896, 259.9934
480.6717, 234.6534
481.1538, 214.8925
481.6359, 199.7245
482.1180, 186.6855
482.6002, 174.0361
483.0823, 162.3694
483.5644, 153.5086
484.0465, 148.0703
484.5286, 143.3608
485.0107, 138.2681
485.4929, 133.2846
485.9750, 128.9904
486.4571, 125.5335
486.9392, 122.4634
487.4213, 119.3574
487.9034, 116.4631
488.3856, 114.5731
488.8677, 113.9176
489.3498, 113.3045
489.8319, 111.6548
490.3140, 109.0300
490.7961, 106.7523
491.2783, 104.6968
491.7604, 103.0943
492.2425, 102.4553
492.7246, 102.2614
493.2067, 101.5304
493.6888, 99.92269
494.1710, 97.79845
494.6531, 95.60164
495.1352, 92.85271
495.6173, 91.68189
496.0994, 93.25783
496.5815, 95.03566
497.0637, 95.99108
497.5458, 96.16019
498.0279, 95.85714
498.5100, 95.23795
498.9921, 94.35844
499.4742, 93.25305
499.9564, 91.63026
500.4385, 90.53987
500.9206, 90.26999
501.4027, 90.45404
501.8848, 91.16496
502.3669, 92.23655
502.8491, 93.03215
503.3312, 92.93555
503.8133, 92.28933
504.2954, 92.05666
504.7775, 92.32844
505.2596, 92.58778
505.7418, 92.56810
506.2239, 92.41460
506.7060, 92.29834
507.1881, 92.19096
507.6702, 92.28166
508.1523, 92.81074
508.6345, 93.55227
509.1166, 94.20684
509.5987, 94.73250
510.0808, 94.91039
510.5629, 94.35574
511.0450, 93.21597
511.5272, 93.12949
512.0093, 95.23773
512.4914, 96.89592
512.9735, 97.14056
513.4556, 96.57672
513.9377, 96.06260
514.4199, 95.81412
514.9020, 95.32714
515.3841, 93.81675
515.8662, 90.96990
516.3483, 89.27297
516.8304, 89.55357
517.3126, 90.15553
517.7947, 90.77842
518.2768, 91.39624
518.7589, 92.15148
519.2410, 93.12822
519.7231, 93.83478
520.2053, 93.25998
520.6874, 91.26407
521.1695, 90.10802
521.6516, 90.58427
522.1337, 91.34177
522.6158, 91.50026
523.0980, 91.18952
523.5801, 90.76829
524.0622, 90.28767
524.5443, 89.82516
525.0264, 89.35393
525.5085, 88.92699
525.9907, 89.02173
526.4728, 90.03632
526.9549, 91.12234
527.4370, 90.83083
527.9191, 88.86708
528.4012, 87.49706
528.8834, 87.33955
529.3655, 87.50398
529.8476, 87.58466
530.3297, 87.46970
530.8118, 86.90540
531.2939, 85.71037
531.7761, 84.27085
532.2582, 83.62923
532.7403, 84.56779
533.2224, 84.85878
533.7045, 84.13527
