##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
479.8762, 85.25523
480.3583, 84.71464
480.8404, 84.44675
481.3225, 84.71259
481.8046, 85.04709
482.2867, 85.20309
482.7689, 85.24425
483.2510, 85.33266
483.7331, 85.72576
484.2152, 86.00597
484.6973, 85.91115
485.1794, 85.30971
485.6616, 84.93377
486.1437, 85.05923
486.6258, 85.30534
487.1079, 85.38377
487.5900, 85.22046
488.0721, 85.00919
488.5543, 84.73196
489.0364, 84.42742
489.5185, 84.20261
490.0006, 84.05235
490.4827, 84.00208
490.9648, 84.12793
491.4470, 84.41254
491.9291, 84.44958
492.4112, 84.19577
492.8933, 83.90161
493.3754, 83.84893
493.8575, 83.98543
494.3397, 84.07162
494.8218, 84.03013
495.3039, 83.96655
495.7860, 84.06617
496.2681, 84.27771
496.7502, 84.42350
497.2324, 84.39335
497.7145, 84.26440
498.1966, 84.07388
498.6787, 83.82259
499.1608, 83.62019
499.6429, 83.49980
500.1251, 83.46391
500.6072, 83.51756
501.0893, 83.76792
501.5714, 83.95712
502.0535, 84.00839
502.5356, 83.96023
503.0178, 83.90279
503.4999, 83.87953
503.9820, 83.80581
504.4641, 83.63542
504.9462, 83.36218
505.4283, 83.17924
505.9105, 83.11501
506.3926, 83.10275
506.8747, 83.09691
507.3568, 83.09780
507.8389, 83.10449
508.3210, 83.10738
508.8032, 83.13310
509.2853, 83.31200
509.7674, 83.62330
510.2495, 83.71652
510.7316, 83.26907
511.2137, 82.58283
511.6959, 82.33671
512.1780, 82.50681
512.6601, 82.76489
513.1422, 82.93583
513.6243, 83.02691
514.1064, 83.05095
514.5886, 83.01524
515.0707, 82.89551
515.5528, 82.53910
516.0349, 82.12589
516.5170, 81.90952
516.9991, 82.08842
517.4813, 82.35988
517.9634, 82.74345
518.4455, 83.19511
518.9276, 83.37849
519.4097, 82.96198
519.8918, 82.52366
520.3740, 82.31149
520.8561, 82.42349
521.3382, 82.41459
521.8203, 82.17697
522.3024, 81.94039
522.7845, 82.03935
523.2667, 82.57030
523.7488, 82.86843
524.2309, 82.73643
524.7130, 82.34988
525.1951, 82.15190
525.6772, 82.13831
526.1594, 82.13365
526.6415, 81.95415
527.1236, 81.72801
527.6057, 81.80240
528.0878, 82.19204
528.5699, 82.58733
529.0521, 82.71542
529.5342, 82.69878
530.0163, 82.70547
530.4984, 82.83135
530.9805, 82.89268
531.4626, 82.70723
531.9448, 82.39189
532.4269, 82.17396
532.9090, 82.16406
533.3911, 82.21416
533.8732, 82.27412
534.3553, 82.33981
534.8375, 82.45894
535.3196, 82.74062
535.8017, 82.96355
536.2838, 82.98824
536.7659, 82.71799
537.2480, 82.51440
537.7302, 82.38700
538.2123, 82.31620
538.6944, 82.28860
539.1765, 82.30784
539.6586, 82.31918
540.1407, 82.30311
540.6229, 82.27599
541.1050, 82.28895
541.5871, 82.33761
542.0692, 82.36652
542.5513, 82.30361
543.0334, 82.21577
543.5156, 82.25591
543.9977, 82.44434
544.4798, 82.52448
544.9619, 82.19552
545.4440, 81.71061
545.9261, 81.33558
546.4083, 81.06114
546.8904, 81.01761
547.3725, 81.47343
547.8546, 82.17620
548.3367, 82.59777
548.8188, 82.32771
549.3010, 82.11815
549.7831, 82.21361
550.2652, 81.88289
550.7473, 82.79782
551.2294, 83.31702
551.7115, 83.46178
552.1937, 82.11055
552.6758, 82.69107
553.1579, 82.49744
553.6400, 82.27205
554.1221, 83.12447
554.6042, 81.99081
555.0864, 82.82613
555.5685, 82.87548
556.0506, 83.28455
556.5327, 82.91467
557.0148, 82.78538
557.4969, 83.43529
557.9791, 83.65375
558.4612, 83.19420
558.9433, 83.62613
559.4254, 82.46527
559.9075, 82.70211
560.3896, 83.54199
560.8718, 83.12161
561.3539, 83.56778
561.8360, 83.68392
562.3181, 82.30021
562.8002, 83.52489
563.2823, 83.62153
563.7645, 82.55991
564.2466, 83.69522
564.7287, 82.79327
565.2108, 82.61851
565.6929, 82.99099
566.1750, 82.79298
566.6572, 83.49442
567.1393, 83.32935
567.6214, 83.08687
568.1035, 83.18224
568.5856, 82.96604
569.0677, 83.23436
569.5499, 82.93525
570.0320, 83.23920
570.5141, 83.67985
570.9962, 83.07383
571.4783, 83.57590
571.9604, 82.35959
572.4426, 82.58111
572.9247, 82.64780
573.4068, 83.63351
573.8889, 82.42558
574.3710, 82.60715
574.8531, 83.38035
575.3353, 83.32572
575.8174, 83.61721
576.2995, 82.88405
576.7816, 83.11347
577.2637, 83.07757
577.7458, 83.95851
578.2280, 84.11565
578.7101, 83.39986
579.1922, 82.68779
579.6743, 83.63471
580.1564, 83.00922
580.6385, 83.23203
581.1207, 82.57872
581.6028, 82.68187
582.0849, 82.77303
582.5670, 83.25197
583.0491, 83.18417
583.5313, 83.38340
584.0134, 83.33018
584.4955, 83.53665
584.9776, 83.71423
585.4597, 83.83017
