##NAMES=Hisingerite
##RRUFFID=R070126
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Nickel Plate mine, Hedley, British Columbia, Canada
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Chocolate brown hexagonal prismatic crystal, appearing to have replaced quartz. Amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070126
586.4974, 13842.50
586.9796, 13817.62
587.4617, 13816.33
587.9438, 13862.49
588.4259, 13878.05
588.9080, 13840.15
589.3901, 13789.33
589.8723, 13774.19
590.3544, 13805.90
590.8365, 13831.04
591.3186, 13838.17
591.8007, 13836.05
592.2828, 13851.94
592.7650, 13885.17
593.2471, 13906.07
593.7292, 13885.85
594.2113, 13846.44
594.6934, 13831.08
595.1755, 13839.90
595.6577, 13857.78
596.1398, 13882.27
596.6219, 13906.09
597.1040, 13921.53
597.5862, 13925.73
598.0683, 13924.29
598.5504, 13907.71
599.0325, 13890.17
599.5146, 13891.36
599.9968, 13941.63
600.4789, 13978.36
600.9610, 13992.07
601.4431, 13985.29
601.9252, 13966.42
602.4073, 13931.06
602.8895, 13895.92
603.3716, 13864.33
603.8537, 13837.45
604.3358, 13838.36
604.8179, 13870.60
605.3000, 13903.44
605.7822, 13907.92
606.2643, 13890.47
606.7464, 13864.92
607.2285, 13830.69
607.7106, 13799.35
608.1927, 13776.37
608.6749, 13764.40
609.1570, 13768.65
609.6391, 13809.05
610.1212, 13848.26
610.6033, 13877.30
611.0854, 13894.63
611.5676, 13891.04
612.0497, 13835.03
612.5318, 13788.51
613.0139, 13779.36
613.4960, 13816.86
613.9781, 13827.80
614.4603, 13802.93
614.9424, 13771.71
615.4245, 13764.26
615.9066, 13779.51
616.3887, 13790.60
616.8708, 13794.78
617.3530, 13790.68
617.8351, 13772.64
618.3172, 13744.51
618.7993, 13716.61
619.2814, 13686.83
619.7635, 13664.82
620.2457, 13663.32
620.7278, 13677.93
621.2099, 13690.32
621.6920, 13693.99
622.1741, 13692.84
622.6563, 13686.72
623.1384, 13673.19
623.6205, 13667.51
624.1026, 13676.17
624.5847, 13686.74
625.0668, 13691.77
625.5490, 13693.37
626.0311, 13676.62
626.5132, 13631.44
626.9953, 13584.20
627.4774, 13585.84
627.9595, 13630.66
628.4417, 13661.82
628.9238, 13653.88
629.4059, 13629.60
629.8880, 13624.55
630.3701, 13633.04
630.8522, 13632.97
631.3344, 13594.72
631.8165, 13556.59
632.2986, 13549.99
632.7807, 13578.35
633.2628, 13601.33
633.7449, 13600.02
634.2271, 13595.42
634.7092, 13602.13
635.1913, 13631.94
635.6734, 13648.59
636.1555, 13650.85
636.6376, 13641.17
637.1198, 13617.72
637.6019, 13578.73
638.0840, 13549.79
638.5661, 13536.57
639.0482, 13536.00
639.5303, 13550.40
640.0125, 13575.45
640.4946, 13588.23
640.9767, 13555.88
641.4588, 13519.07
641.9409, 13532.04
642.4230, 13588.43
642.9052, 13625.89
643.3873, 13589.36
643.8694, 13543.78
644.3515, 13533.17
644.8336, 13579.93
645.3157, 13605.90
645.7979, 13585.54
646.2800, 13561.30
646.7621, 13575.84
647.2442, 13648.28
647.7263, 13690.61
648.2084, 13688.13
648.6906, 13661.82
649.1727, 13648.43
649.6548, 13646.44
