##NAMES=Schmitterite
##RRUFFID=R060524
##IDEAL CHEMISTRY=(U^6+^O_2_)Te^4+^O_3_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow rosette associated with green emmonsite, R060802
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R060524
523.4882, 58.00781
523.9703, 20.25000
524.4524, 2.199219
524.9345, 9.550781
525.4166, 2.339844
525.8987, 24.23438
526.3809, 54.77734
526.8630, 68.25781
527.3451, 66.68359
527.8272, 54.94922
528.3093, 30.94531
528.7914, 1.078125
529.2736, 29.72266
529.7557, 60.65625
530.2378, 85.76562
530.7199, 98.17969
531.2020, 105.2148
531.6841, 113.0469
532.1663, 125.2031
532.6484, 133.0586
533.1305, 136.5352
533.6126, 134.4648
534.0947, 125.2500
534.5768, 97.55078
535.0590, 78.14062
535.5411, 76.76562
536.0232, 89.75391
536.5053, 91.00000
536.9874, 77.05859
537.4695, 60.97266
537.9517, 48.96094
538.4338, 41.12109
538.9159, 35.82422
539.3980, 33.35156
539.8801, 31.81250
540.3622, 25.68359
540.8444, 17.28906
541.3265, 20.60938
541.8086, 44.54297
542.2907, 68.92188
542.7728, 57.87500
543.2549, 24.07422
543.7371, 4.519531
544.2192, 35.32812
544.7013, 74.33594
545.1834, 89.39062
545.6655, 81.01562
546.1476, 69.05078
546.6298, 53.98828
547.1119, 44.14062
547.5940, 47.41406
548.0761, 80.26953
548.5582, 95.91016
549.0403, 75.65625
549.5225, 44.96875
550.0046, 34.35938
550.4867, 53.58984
550.9688, 73.46094
551.4509, 90.54688
551.9330, 104.1445
552.4152, 108.4688
552.8973, 100.6016
553.3794, 98.35938
553.8615, 116.3438
554.3436, 148.8867
554.8257, 165.1914
555.3079, 164.0938
555.7900, 158.2266
556.2721, 157.9883
556.7542, 161.1367
557.2363, 164.8320
557.7184, 170.7852
558.2006, 171.8789
558.6827, 157.2227
559.1648, 135.2227
559.6469, 119.6719
560.1290, 122.8945
560.6111, 127.7031
561.0933, 128.3906
561.5754, 125.3008
562.0575, 120.1992
562.5396, 108.4492
563.0217, 100.2734
563.5038, 101.1211
563.9860, 114.1836
564.4681, 122.9375
564.9502, 123.7383
565.4323, 121.2031
565.9144, 120.5156
566.3965, 124.4648
566.8787, 129.6289
567.3608, 135.9766
567.8429, 145.8203
568.3250, 168.4727
568.8071, 200.7578
569.2892, 221.1484
569.7714, 207.0469
570.2535, 182.7852
570.7356, 183.2773
571.2177, 206.0938
571.6998, 231.8164
572.1819, 251.7969
572.6641, 268.0977
573.1462, 282.2070
573.6283, 294.3008
574.1104, 304.0625
574.5925, 313.5586
575.0746, 318.9727
575.5568, 317.0273
576.0389, 294.9727
576.5210, 282.2461
577.0031, 282.8242
577.4852, 292.3281
577.9673, 306.0938
578.4495, 332.6836
578.9316, 339.4453
579.4137, 305.2383
579.8958, 243.4258
580.3779, 220.3555
580.8600, 240.5469
581.3422, 264.5469
581.8243, 253.7148
582.3064, 227.2969
582.7885, 233.1211
583.2706, 274.6992
583.7527, 321.1172
584.2349, 363.4297
584.7170, 391.5273
585.1991, 389.3516
585.6812, 332.5078
586.1633, 282.5859
586.6454, 268.9219
587.1276, 277.3047
587.6097, 283.0664
588.0918, 283.3203
588.5739, 279.7344
589.0560, 270.4766
589.5381, 256.8594
590.0203, 248.7539
590.5024, 249.7188
590.9845, 250.2305
591.4666, 247.3867
591.9487, 241.8164
592.4308, 227.1289
592.9130, 202.6367
593.3951, 176.0195
593.8772, 154.4453
594.3593, 137.3086
594.8414, 119.7031
595.3235, 97.69141
595.8057, 86.06641
596.2878, 110.2305
596.7699, 154.3164
597.2520, 188.1836
597.7341, 196.1055
598.2162, 194.2031
598.6984, 184.7617
599.1805, 170.5039
599.6626, 161.5234
600.1447, 159.1328
600.6268, 160.9570
601.1089, 167.1953
601.5911, 178.6016
602.0732, 184.1133
602.5553, 180.9375
603.0374, 173.9023
603.5195, 164.2031
604.0016, 150.8828
604.4838, 151.4844
604.9659, 171.4766
605.4480, 191.0938
605.9301, 176.3711
606.4122, 136.9531
606.8943, 114.8867
607.3765, 129.5742
607.8586, 151.7383
608.3407, 145.1562
608.8228, 120.4883
609.3049, 104.1133
609.7870, 119.3633
610.2692, 135.7031
610.7513, 134.9453
611.2334, 118.0117
611.7155, 102.6797
612.1976, 93.51172
612.6797, 85.99609
613.1619, 77.64844
613.6440, 67.56641
614.1261, 63.28906
614.6082, 69.00391
615.0903, 74.78125
615.5724, 69.52344
616.0546, 52.65625
616.5367, 44.44922
617.0188, 49.80859
617.5009, 57.30469
617.9830, 44.95703
618.4651, 19.54688
618.9473, 5.164063
619.4294, 18.36328
619.9115, 36.37891
620.3936, 38.14453
