##NAMES=Monazite-(Ce)
##RRUFFID=R060925
##IDEAL CHEMISTRY=CePO_4_
##LOCALITY=Siglo Veinte mine, Llallagua, Bustillos Province, Potosi Department, Bolivia
##OWNER=RRUFF
##SOURCE=Alfredo Petrov
##DESCRIPTION=Pale peach semi-transparent crystals associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060925
##MEASURED CHEMISTRY=(Ce_0.52_La_0.21_Nd_0.19_Y_0.06_Ca_0.01_Th_0.01_)_Σ=1_P_1.00_O_4_ ; = light phase, and dark phase = (Ce_0.49_La_0.21_Nd_0.20_Y_0.07_Ca_0.02_Th_0.02_)_Σ=1_P_1.00_O_4_
565.0748, 2150.259
565.5569, 2135.141
566.0391, 2126.177
566.5212, 2119.925
567.0033, 2112.158
567.4854, 2102.426
567.9675, 2093.910
568.4496, 2088.831
568.9318, 2082.280
569.4139, 2068.970
569.8960, 2054.954
570.3781, 2049.873
570.8602, 2056.033
571.3423, 2062.861
571.8245, 2058.410
572.3066, 2044.941
572.7887, 2032.664
573.2708, 2021.357
573.7529, 2014.609
574.2350, 2016.841
574.7172, 2023.854
575.1993, 2025.297
575.6814, 2019.697
576.1635, 2012.557
576.6456, 2005.260
577.1277, 1996.830
577.6099, 1984.969
578.0920, 1970.912
578.5741, 1958.885
579.0562, 1951.662
579.5383, 1947.280
580.0204, 1940.989
580.5026, 1932.343
580.9847, 1923.199
581.4668, 1910.234
581.9489, 1901.114
582.4310, 1906.289
582.9132, 1920.062
583.3953, 1922.750
583.8774, 1900.218
584.3596, 1875.377
584.8417, 1864.548
585.3238, 1862.223
585.8059, 1857.703
586.2880, 1848.478
586.7701, 1838.636
587.2523, 1832.523
587.7344, 1830.016
588.2165, 1826.361
588.6986, 1823.157
589.1807, 1816.212
589.6628, 1800.841
590.1450, 1784.320
590.6271, 1773.604
591.1092, 1769.240
591.5913, 1765.620
592.0734, 1756.536
592.5555, 1747.576
593.0377, 1750.842
593.5198, 1764.275
594.0019, 1769.494
594.4840, 1757.563
594.9661, 1738.341
595.4482, 1728.402
595.9304, 1732.238
596.4125, 1730.083
596.8946, 1717.979
597.3767, 1704.899
597.8588, 1692.330
598.3409, 1681.733
598.8231, 1675.651
599.3052, 1674.971
599.7873, 1675.953
600.2694, 1674.789
600.7515, 1672.069
601.2336, 1671.199
601.7158, 1673.207
602.1979, 1670.682
602.6800, 1656.882
603.1621, 1636.824
603.6442, 1625.404
604.1263, 1626.961
604.6085, 1627.853
605.0906, 1626.989
605.5727, 1624.838
606.0548, 1621.775
606.5369, 1617.695
607.0190, 1611.356
607.5012, 1601.479
607.9833, 1592.242
608.4654, 1593.325
608.9475, 1604.593
609.4296, 1607.727
609.9117, 1597.042
610.3939, 1584.764
610.8760, 1580.035
611.3581, 1581.629
611.8402, 1583.035
612.3223, 1586.240
612.8044, 1586.416
613.2866, 1580.213
613.7687, 1571.552
614.2508, 1563.432
614.7329, 1556.836
615.2150, 1553.228
615.6971, 1554.659
616.1793, 1558.133
616.6614, 1553.937
617.1435, 1540.581
617.6256, 1527.900
618.1077, 1515.015
618.5898, 1507.218
619.0720, 1513.384
619.5541, 1530.351
620.0362, 1541.305
620.5183, 1540.228
621.0004, 1536.160
621.4825, 1531.708
621.9647, 1527.751
622.4468, 1527.708
622.9289, 1530.971
623.4110, 1529.619
623.8931, 1515.329
624.3752, 1490.496
624.8574, 1467.446
625.3395, 1443.266
625.8216, 1430.413
626.3037, 1440.964
626.7858, 1456.797
627.2679, 1461.287
627.7501, 1454.777
628.2322, 1444.271
628.7143, 1426.014
629.1964, 1409.743
629.6785, 1403.441
630.1606, 1403.302
630.6428, 1402.128
631.1249, 1397.947
631.6070, 1393.510
