##NAMES=Tsumcorite
##RRUFFID=R100185
##IDEAL CHEMISTRY=Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Mina Ojuela (Campo Sur), Mapimi, Durango, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brilliant brown wedge-shaped crystals on pulverant segnitite, associated with colorless mimetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100185
524.0281, 19.29790
524.5102, 19.09896
524.9923, 18.37532
525.4744, 17.98495
525.9565, 18.13031
526.4387, 18.37242
526.9208, 18.84288
527.4029, 19.24674
527.8850, 19.18564
528.3671, 18.58436
528.8492, 17.91513
529.3314, 17.78259
529.8135, 18.10340
530.2956, 17.95630
530.7777, 16.98623
531.2598, 16.18253
531.7419, 16.49817
532.2241, 17.31631
532.7062, 17.59217
533.1883, 16.85753
533.6704, 16.12483
534.1525, 16.23728
534.6346, 16.85256
535.1168, 17.18361
535.5989, 17.05217
536.0810, 16.61147
536.5631, 15.91271
537.0452, 14.93663
537.5273, 14.42886
538.0095, 14.63014
538.4916, 14.98271
538.9737, 15.55982
539.4558, 16.06648
539.9379, 15.94594
540.4200, 15.06402
540.9022, 14.03517
541.3843, 13.77890
541.8664, 14.49308
542.3485, 14.86059
542.8306, 14.67731
543.3127, 14.34312
543.7948, 13.85758
544.2769, 13.33771
544.7590, 12.97243
545.2411, 12.84703
545.7233, 12.76859
546.2054, 12.30105
546.6875, 11.51161
547.1696, 11.60107
547.6517, 13.29296
548.1339, 14.86031
548.6160, 14.17827
549.0981, 12.12760
549.5802, 11.26700
550.0623, 13.24379
550.5444, 15.28620
551.0266, 15.62115
551.5087, 14.67762
551.9908, 13.10341
552.4729, 11.03863
552.9550, 9.509256
553.4371, 9.993284
553.9193, 13.03640
554.4014, 14.77640
554.8835, 14.79904
555.3656, 14.18653
555.8477, 12.58850
556.3298, 10.84774
556.8120, 10.38202
557.2941, 11.65001
557.7762, 13.37102
558.2583, 13.55353
558.7404, 11.93390
559.2225, 11.00438
559.7047, 11.27999
560.1868, 11.68798
560.6689, 11.75401
561.1510, 11.59261
561.6331, 11.37371
562.1152, 11.10306
562.5974, 10.91596
563.0795, 11.07230
563.5616, 11.43553
564.0437, 11.40124
564.5258, 10.74493
565.0079, 10.18572
565.4901, 10.52089
565.9722, 11.68693
566.4543, 12.26157
566.9364, 11.65378
567.4185, 11.13559
567.9006, 11.24827
568.3828, 11.72279
568.8649, 12.21309
569.3470, 12.60969
569.8291, 12.94898
570.3112, 13.31407
570.7933, 13.73504
571.2755, 13.64399
571.7576, 12.54235
572.2397, 11.53825
572.7218, 10.75897
573.2039, 10.27697
573.6860, 10.26305
574.1682, 10.74411
574.6503, 11.28940
575.1324, 11.60624
575.6145, 11.66382
576.0966, 11.16773
576.5787, 9.892341
577.0609, 8.890311
577.5430, 8.922304
578.0251, 9.661550
578.5072, 10.28005
578.9893, 10.76287
579.4714, 11.12232
579.9536, 11.28528
580.4357, 11.36763
