##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
579.3920, 1928.337
579.8741, 1926.726
580.3563, 1924.048
580.8384, 1922.526
581.3205, 1924.436
581.8026, 1928.480
582.2847, 1930.863
582.7668, 1931.463
583.2490, 1931.242
583.7311, 1930.783
584.2132, 1930.068
584.6953, 1928.798
585.1774, 1926.122
585.6595, 1924.785
586.1416, 1927.759
586.6237, 1932.603
587.1058, 1935.658
587.5880, 1935.206
588.0701, 1933.840
588.5522, 1931.420
589.0343, 1928.373
589.5164, 1926.778
589.9985, 1927.636
590.4807, 1928.249
590.9628, 1927.533
591.4449, 1925.465
591.9270, 1922.511
592.4091, 1918.334
592.8912, 1914.632
593.3734, 1913.002
593.8555, 1913.185
594.3376, 1914.235
594.8197, 1916.217
595.3018, 1918.195
595.7839, 1918.971
596.2661, 1919.032
596.7482, 1919.309
597.2303, 1920.593
597.7124, 1921.811
598.1945, 1922.430
598.6766, 1922.535
599.1588, 1922.311
599.6409, 1922.139
600.1230, 1921.377
600.6051, 1919.272
601.0872, 1915.681
601.5693, 1913.715
602.0515, 1914.344
602.5336, 1915.267
603.0157, 1914.653
603.4978, 1911.855
603.9799, 1911.830
604.4620, 1915.425
604.9442, 1919.715
605.4263, 1920.727
605.9084, 1918.963
606.3905, 1917.294
606.8726, 1916.312
607.3547, 1915.853
607.8369, 1916.101
608.3190, 1916.724
608.8011, 1916.882
609.2832, 1915.195
609.7653, 1913.742
610.2474, 1914.189
610.7296, 1916.273
611.2117, 1917.776
611.6938, 1917.080
612.1759, 1916.493
612.6580, 1917.430
613.1401, 1920.581
613.6223, 1922.277
614.1044, 1922.443
614.5865, 1921.251
615.0686, 1918.313
615.5507, 1913.288
616.0328, 1909.788
616.5150, 1908.374
616.9971, 1908.219
617.4792, 1908.543
617.9613, 1909.199
618.4434, 1909.398
618.9255, 1908.830
619.4077, 1907.793
619.8898, 1906.205
620.3719, 1904.366
620.8540, 1903.161
621.3361, 1903.500
621.8182, 1904.219
622.3004, 1904.851
622.7825, 1905.352
623.2646, 1905.413
623.7467, 1904.248
624.2288, 1903.202
624.7109, 1902.987
625.1931, 1903.893
625.6752, 1904.523
626.1573, 1904.735
626.6394, 1904.840
627.1215, 1905.216
627.6036, 1905.854
628.0858, 1906.146
628.5679, 1905.828
629.0500, 1905.534
629.5321, 1906.595
630.0142, 1908.554
630.4963, 1909.897
630.9785, 1909.402
631.4606, 1908.706
631.9427, 1909.295
632.4248, 1910.896
632.9069, 1912.594
633.3890, 1914.725
633.8712, 1916.236
634.3533, 1916.303
634.8354, 1914.756
635.3175, 1914.077
635.7996, 1914.836
636.2817, 1915.879
636.7639, 1916.660
637.2460, 1917.179
637.7281, 1917.111
638.2102, 1916.220
638.6923, 1915.286
639.1744, 1915.469
639.6566, 1916.486
640.1387, 1916.596
640.6208, 1915.246
641.1029, 1913.626
641.5850, 1912.981
642.0671, 1913.114
642.5493, 1913.610
643.0314, 1915.573
643.5135, 1916.664
643.9956, 1914.722
644.4777, 1910.846
644.9598, 1908.407
645.4420, 1909.329
645.9241, 1910.679
646.4062, 1911.636
646.8883, 1912.233
647.3704, 1913.035
647.8525, 1914.246
648.3347, 1915.214
648.8168, 1915.287
649.2989, 1914.508
649.7810, 1914.519
650.2631, 1915.357
650.7452, 1916.598
651.2274, 1917.721
651.7095, 1918.930
652.1916, 1921.072
652.6737, 1924.742
653.1558, 1927.351
653.6379, 1925.747
654.1201, 1922.344
654.6022, 1920.321
655.0843, 1920.757
655.5664, 1922.483
656.0485, 1926.881
656.5306, 1932.207
657.0128, 1934.387
657.4949, 1931.065
657.9770, 1929.141
658.4591, 1930.968
658.9412, 1935.392
659.4233, 1936.853
659.9055, 1935.043
660.3876, 1933.780
660.8697, 1936.464
