##NAMES=Bastnasite-(Ce)
##RRUFFID=R050409
##IDEAL CHEMISTRY=CeCO_3_F
##LOCALITY=Machni, near Warsak Dam, Zagi Mountain, North-West Frontier Province, Pakistan
##OWNER=RRUFF
##SOURCE=G.R. Rossman
##DESCRIPTION=Yellowish brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050409
##MEASURED CHEMISTRY=(Ce_0.54_(La,Pr)_0.25_Nd_0.21_)_Σ=1_CO_3_F_1.00_
1132.753, 7093.000
1133.986, 7040.000
1135.218, 6910.000
1136.450, 6945.000
1137.682, 7036.000
1138.914, 6887.000
1140.146, 7039.000
1141.377, 6858.000
1142.609, 6994.000
1143.840, 6915.000
1145.071, 6935.000
1146.301, 7013.000
1147.532, 6954.000
1148.762, 6974.000
1149.992, 7029.000
1151.222, 6933.000
1152.452, 6949.000
1153.682, 6991.000
1154.911, 7048.000
1156.140, 6994.000
1157.369, 7141.000
1158.598, 7020.000
1159.827, 7003.000
1161.055, 7046.000
1162.284, 7052.000
1163.512, 7047.000
1164.740, 7097.000
1165.967, 7126.000
1167.195, 7122.000
1168.422, 7056.000
1169.650, 7176.000
1170.877, 7148.000
1172.103, 7114.000
1173.330, 7184.000
1174.557, 7228.000
1175.783, 7159.000
1177.009, 7200.000
1178.235, 7230.000
1179.461, 7210.000
1180.686, 7305.000
1181.912, 7220.000
1183.137, 7208.000
1184.362, 7262.000
1185.587, 7322.000
1186.811, 7237.000
1188.036, 7341.000
1189.260, 7328.000
1190.484, 7284.000
1191.708, 7327.000
1192.932, 7395.000
1194.155, 7383.000
1195.378, 7326.000
1196.602, 7347.000
1197.825, 7238.000
1199.047, 7354.000
1200.270, 7399.000
1201.492, 7374.000
1202.715, 7350.000
1203.937, 7416.000
1205.159, 7343.000
1206.380, 7394.000
1207.602, 7428.000
1208.823, 7391.000
1210.044, 7332.000
1211.265, 7415.000
1212.486, 7506.000
1213.707, 7364.000
1214.927, 7433.000
1216.147, 7434.000
1217.367, 7500.000
1218.587, 7433.000
1219.807, 7425.000
1221.027, 7418.000
1222.246, 7417.019
1223.465, 7492.000
1224.684, 7447.000
1225.903, 7505.000
1227.121, 7502.000
1228.340, 7548.000
1229.558, 7572.000
1230.776, 7556.000
1231.994, 7565.000
1233.212, 7562.000
1234.429, 7449.000
1235.646, 7518.000
1236.864, 7540.000
1238.081, 7651.000
1239.297, 7639.000
1240.514, 7573.000
1241.730, 7669.000
1242.947, 7666.000
1244.163, 7654.000
1245.378, 7685.000
1246.594, 7620.000
1247.810, 7647.276
1249.025, 7691.000
1250.240, 7655.000
1251.455, 7751.000
1252.670, 7755.000
1253.885, 7706.000
1255.099, 7709.000
1256.313, 7740.000
1257.527, 7750.000
1258.741, 7756.256
1259.955, 7742.000
1261.168, 7765.000
1262.382, 7710.000
1263.595, 7708.000
1264.808, 7770.000
1266.021, 7870.000
1267.233, 7756.000
1268.446, 7700.000
1269.658, 7756.000
1270.870, 7893.000
1272.082, 7740.000
1273.294, 7815.000
1274.505, 7884.000
1275.716, 7810.000
1276.928, 7897.000
1278.139, 7901.000
1279.349, 7746.000
1280.560, 7815.000
1281.770, 7877.000
1282.981, 7855.000
1284.191, 7910.000
1285.401, 7866.000
1286.610, 7905.000
1287.820, 7882.000
1289.029, 7874.000
1290.239, 7900.771
1291.448, 7927.000
1292.656, 7938.000
1293.865, 7998.000
1295.073, 8023.000
1296.282, 8014.000
1297.490, 7936.000
1298.698, 7932.000
1299.906, 7902.000
1301.113, 7915.246
1302.320, 7918.000
1303.528, 7965.000
1304.735, 8032.000
1305.942, 8036.000
1307.148, 7934.000
1308.355, 7932.000
1309.561, 8115.000
1310.767, 8023.000
1311.973, 8117.000
1313.179, 8012.000
1314.384, 8019.000
1315.590, 7964.000
1316.795, 8125.000
1318.000, 8131.000
1319.205, 8186.000
1320.410, 8150.000
1321.614, 8162.000
1322.819, 8162.000
1324.023, 8044.000
1325.227, 8133.000
1326.431, 8089.000
1327.634, 8240.000
1328.838, 8131.000
1330.041, 8195.000
1331.244, 8187.000
1332.447, 8157.572
1333.650, 8276.000
1334.852, 8166.000
1336.055, 8214.000
1337.257, 8285.000
1338.459, 8307.000
1339.661, 8368.000
1340.862, 8270.000
1342.064, 8329.000
1343.265, 8299.000
1344.466, 8345.000
1345.667, 8334.000
1346.868, 8419.000
1348.068, 8318.000
1349.269, 8458.000
1350.469, 8452.000
1351.669, 8395.000
1352.869, 8479.000
1354.069, 8327.000
1355.268, 8402.000
1356.468, 8489.000
1357.667, 8461.000
1358.866, 8490.000
1360.065, 8487.000
1361.263, 8517.000
1362.462, 8500.000
1363.660, 8501.000
1364.858, 8474.000
1366.056, 8466.474
1367.254, 8435.000
1368.451, 8416.000
1369.649, 8507.000
1370.846, 8438.000
1372.043, 8410.000
1373.240, 8496.000
1374.436, 8485.000
1375.633, 8516.000
1376.829, 8572.000
1378.025, 8595.000
1379.221, 8455.000
1380.417, 8384.000
1381.613, 8528.000
1382.808, 8462.000
1384.003, 8566.000
1385.199, 8625.000
1386.393, 8591.000
1387.588, 8574.000
1388.783, 8543.000
1389.977, 8556.265
1391.171, 8571.000
1392.365, 8614.000
1393.559, 8629.000
1394.753, 8706.000
1395.946, 8751.000
1397.140, 8749.000
1398.333, 8826.000
1399.526, 8812.000
1400.719, 8907.000
1401.911, 8924.000
1403.104, 8954.000
1404.296, 9020.000
1405.488, 8980.000
1406.680, 9038.000
1407.872, 9142.000
1409.063, 9127.000
1410.255, 9278.000
1411.446, 9323.000
1412.637, 9307.000
1413.828, 9530.000
1415.018, 9427.000
1416.209, 9396.000
1417.399, 9507.000
1418.589, 9614.000
1419.779, 9608.000
1420.969, 9736.000
1422.159, 9832.000
1423.348, 9993.000
1424.537, 10116.000
1425.726, 10313.000
1426.915, 10614.000
1428.104, 11080.000
1429.293, 11610.000
1430.481, 12254.000
1431.669, 13370.000
1432.857, 14307.000
1434.045, 15073.000
1435.233, 15032.000
1436.420, 14235.000
1437.608, 13633.000
1438.795, 12979.000
1439.982, 12414.000
1441.169, 12173.000
1442.355, 12000.000
1443.542, 11685.000
1444.728, 11284.000
1445.914, 11021.000
1447.100, 10625.000
1448.286, 10264.000
1449.472, 10062.000
1450.657, 9822.000
1451.842, 9666.000
1453.027, 9638.000
1454.212, 9541.000
1455.397, 9487.000
1456.581, 9598.000
1457.766, 9384.000
1458.950, 9392.000
1460.134, 9476.000
1461.318, 9342.000
1462.501, 9470.000
1463.685, 9370.000
1464.868, 9370.000
1466.051, 9480.000
1467.234, 9312.000
1468.417, 9431.000
1469.600, 9276.000
1470.782, 9195.000
1471.965, 9261.000
1473.147, 9366.000
1474.329, 9283.000
1475.510, 9270.000
1476.692, 9146.000
1477.873, 9213.000
1479.055, 9136.000
1480.236, 9164.000
1481.416, 9120.000
1482.597, 9140.095
1483.778, 9173.000
1484.958, 9209.000
1486.138, 9160.000
1487.318, 9218.000
1488.498, 9100.000
1489.678, 9290.000
1490.857, 9106.000
1492.037, 9126.000
1493.216, 9189.000
1494.395, 9234.000
1495.574, 9267.000
1496.752, 9270.000
1497.931, 9219.000
1499.109, 9175.000
1500.287, 9421.000
1501.465, 9232.000
1502.643, 9366.000
1503.820, 9342.000
1504.998, 9362.000
1506.175, 9476.000
1507.352, 9529.000
1508.529, 9455.000
1509.706, 9500.000
1510.882, 9520.000
1512.059, 9531.000
1513.235, 9399.000
1514.411, 9367.000
1515.587, 9309.000
1516.762, 9195.000
1517.938, 9284.000
1519.113, 9261.000
1520.288, 9266.000
1521.463, 9275.000
1522.638, 9263.000
1523.813, 9268.000
1524.987, 9172.000
##END=



