##NAMES=Shigaite
##RRUFFID=R080090
##IDEAL CHEMISTRY=NaAl_3_Mn^2+^_6_(S^6+^O_4_)_2_(OH)_18_&#183;12H_2_O
##LOCALITY=Ioi Mine, Shiga Prefecture, Kinki Region, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Semi-transparent, dull-yellow to pale yellow coating
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080090
601.4688, 197.0879
601.9509, 197.9038
602.4330, 198.5230
602.9151, 198.9191
603.3972, 199.1486
603.8793, 199.2016
604.3615, 199.0474
604.8436, 199.0683
605.3257, 199.3735
605.8078, 199.7059
606.2899, 199.5856
606.7720, 199.1012
607.2542, 198.6974
607.7363, 198.6737
608.2184, 198.6656
608.7005, 198.2839
609.1826, 197.5600
609.6647, 196.6176
610.1469, 195.3455
610.6290, 194.0021
611.1111, 192.7092
611.5932, 191.4570
612.0753, 190.3993
612.5574, 189.8524
613.0396, 189.2753
613.5217, 188.3451
614.0038, 186.8656
614.4859, 185.4937
614.9680, 184.1822
615.4501, 183.0392
615.9323, 182.2846
616.4144, 181.9487
616.8965, 181.4279
617.3786, 180.5630
617.8607, 179.5548
618.3428, 178.7480
618.8250, 178.1051
619.3071, 177.4702
619.7892, 176.6611
620.2713, 175.9047
620.7534, 175.5537
621.2355, 175.5047
621.7177, 175.2864
622.1998, 174.4609
622.6819, 173.5758
623.1640, 172.9733
623.6461, 172.7397
624.1282, 172.3867
624.6104, 171.7832
625.0925, 171.1175
625.5746, 170.5053
626.0567, 169.9591
626.5388, 169.4046
627.0209, 168.8402
627.5031, 168.2706
627.9852, 167.7218
628.4673, 167.1923
628.9494, 166.5867
629.4315, 165.8622
629.9136, 165.0827
630.3958, 164.3213
630.8779, 163.5896
631.3600, 162.9335
631.8421, 162.4824
632.3242, 162.0316
632.8063, 161.4248
633.2885, 160.6830
633.7706, 159.9006
634.2527, 159.2434
634.7348, 158.4429
635.2169, 157.2912
635.6990, 155.7055
636.1812, 154.2904
636.6633, 152.9957
637.1454, 151.9297
637.6275, 151.2457
638.1096, 151.0103
638.5917, 150.6638
639.0739, 150.1819
639.5560, 149.5663
640.0381, 148.7435
640.5202, 147.7597
641.0023, 146.8387
