##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M00815
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
989.2990, 6907.441
990.4130, 7530.133
991.5260, 7657.898
992.6400, 8197.738
993.7530, 8290.652
994.8660, 8810.633
995.9790, 9530.695
997.0910, 9790.824
998.2040, 10320.03
999.3160, 11033.75
1000.429, 11392.92
1001.541, 11892.70
1002.652, 12341.43
1003.764, 12737.39
1004.876, 12789.39
1005.987, 12715.13
1007.098, 12713.77
1008.210, 12583.07
1009.320, 13116.56
1010.431, 13326.30
1011.542, 13630.48
1012.652, 14410.65
1013.763, 14650.97
1014.873, 15502.63
1015.983, 16301.98
1017.093, 17073.62
1018.202, 17692.20
1019.312, 18178.01
1020.421, 18489.92
1021.530, 18368.91
1022.639, 19025.02
1023.748, 18449.22
1024.857, 17887.50
1025.965, 17866.88
1027.074, 16898.34
1028.182, 15945.88
1029.290, 15269.52
1030.398, 14158.23
1031.505, 13205.02
1032.613, 12186.91
1033.720, 11482.88
1034.828, 10689.92
1035.935, 10223.04
1037.042, 9372.250
1038.148, 9085.531
1039.255, 8621.891
1040.361, 7827.328
1041.468, 7858.840
1042.574, 7366.430
1043.680, 7006.527
1044.786, 6781.262
1045.891, 6580.070
1046.997, 6468.977
1048.102, 5947.934
1049.207, 6186.020
1050.312, 5798.676
1051.417, 5910.840
1052.522, 5872.078
1053.626, 5931.383
1054.730, 6065.754
1055.835, 5952.199
1056.939, 5747.711
1058.043, 6084.289
1059.146, 5989.938
1060.250, 5803.652
1061.353, 5848.434
1062.456, 5710.285
1063.559, 5590.418
1064.662, 5592.281
1065.765, 6004.066
1066.868, 5694.352
1067.970, 5974.391
1069.072, 5976.363
1070.174, 6075.949
1071.276, 6481.184
1072.378, 6275.902
1073.480, 6914.754
1074.581, 7279.566
1075.682, 8223.898
1076.784, 8053.188
1077.885, 9096.207
1078.985, 9608.047
1080.086, 10490.74
1081.187, 11608.68
1082.287, 12618.14
1083.387, 13727.86
1084.487, 14573.52
1085.587, 15471.27
1086.687, 16092.75
1087.786, 15968.98
1088.885, 15810.83
1089.985, 15103.15
1091.084, 13882.52
1092.182, 12876.30
1093.281, 11347.93
1094.380, 10722.52
1095.478, 10044.62
1096.576, 9321.902
1097.674, 8130.688
1098.772, 7757.273
1099.870, 7187.320
1100.968, 6699.422
1102.065, 6690.488
1103.162, 6075.301
1104.259, 5993.152
1105.356, 6107.039
1106.453, 5900.957
1107.550, 5759.910
1108.646, 5639.891
1109.743, 5616.906
1110.839, 5659.156
1111.935, 5623.512
1113.030, 5530.625
1114.126, 5414.797
1115.222, 5358.977
1116.317, 5115.203
1117.412, 4850.457
1118.507, 4841.738
1119.602, 4559.047
1120.697, 4323.383
1121.791, 4453.742
1122.885, 4204.133
1123.980, 3990.543
1125.074, 3896.973
1126.168, 3813.426
1127.261, 3879.906
1128.355, 3509.402
1129.448, 3522.918
1130.541, 3370.453
1131.635, 3209.508
1132.727, 3278.730
1133.820, 3009.473
1134.913, 2939.293
1136.005, 2913.203
1137.097, 2875.199
1138.190, 2819.324
1139.281, 2326.598
1140.373, 2549.984
1141.465, 2556.527
1142.556, 2114.145
1143.648, 2330.863
1144.739, 2342.691
1145.830, 2046.535
1146.921, 1848.426
1148.011, 1832.332
1149.102, 1806.574
1150.192, 1729.504
1151.282, 1719.953
1152.372, 1649.695
1153.462, 1420.492
1154.552, 1496.453
1155.641, 1374.562
1156.731, 1213.645
1157.820, 1235.848
1158.909, 1550.949
1159.998, 1124.996
1161.086, 1015.984
1162.175, 781.9766
1163.263, 1137.965
1164.351, 827.9648
1165.440, 533.9570
1166.527, 971.9531
1167.615, 675.9453
1168.703, 478.9375
1169.790, 550.9297
1170.877, 159.9180
1171.965, 240.8984
1173.051, 301.8750
1174.138, 16.14844
1175.225, 220.8125
1176.311, 39.76562
1177.398, 10.71484
1178.484, 112.6484
1179.570, 6.578125
1180.655, 122.5039
1181.741, 123.3398
1182.827, 181.1719
1183.912, 223.0000
1184.997, 245.5312
1186.082, 161.6133
1187.167, 154.4023
1188.251, 144.2344
1189.336, 123.3242
1190.420, 129.4375
1191.505, 95.39844
1192.589, 59.55469
1193.672, 20.87109
1194.756, 41.44531
1195.840, 115.8164
1196.923, 183.7383
1198.006, 175.8945
